"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","Wedding: I. Unison","02:01","https://www.allmusic.com/performance/wedding-i-unison-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"2","Wedding: II. Delay","02:57","https://www.allmusic.com/performance/wedding-ii-delay-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"3","Wedding: III. Ricochet","01:43","https://www.allmusic.com/performance/wedding-iii-ricochet-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"4","Wedding: IV. Split","02:34","https://www.allmusic.com/performance/wedding-iv-split-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"5","Wedding: V. Multiply","00:39","https://www.allmusic.com/performance/wedding-v-multiply-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"6","Wedding: VI. Rise","01:09","https://www.allmusic.com/performance/wedding-vi-rise-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"7","Wedding: VII. Fall","02:16","https://www.allmusic.com/performance/wedding-vii-fall-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"8","Wedding: VIII. Unison","01:20","https://www.allmusic.com/performance/wedding-viii-unison-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"9","Interlude No. 1","00:54","https://www.allmusic.com/performance/interlude-no-1-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"10","Field","05:25","https://www.allmusic.com/performance/field-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"11","Surface Down","03:46","https://www.allmusic.com/performance/surface-down-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"12","Interlude No. 2","00:54","https://www.allmusic.com/performance/interlude-no-2-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"13","Canopy","06:24","https://www.allmusic.com/performance/canopy-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
"14","Hades and Persephone","05:02","https://www.allmusic.com/performance/hades-and-persephone-mq0002536453","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624","Samuel Carl Adams","https://www.allmusic.com/artist/samuel-carl-adams-mn0003206624;https://www.allmusic.com/artist/living-earth-show-mn0003194519","Samuel Carl Adams;Living Earth Show","https://www.allmusic.com/album/lyra-mw0003698131"
