"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Saint-Saëns: Phryné","01:04:21","February 18, 2022","9","March 31, 2021 - April 2, 2021","Opéra de Rouen Normandie, Rouen (France)","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Opera","https://www.allmusic.com/style/opera-ma0000004512","Bright;Earthy;Extroverted;Lush;Lyrical;Organic;Ornate;Rustic;Sophisticated;Theatrical","https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/extroverted-xa0000000996;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/theatrical-xa0000001120","","","https://www.allmusic.com/album/saint-sa%C3%ABns-phryn%C3%A9-mw0003648327"
"Ernst von Dohnányi: Concertos; Variations on a Nursery Song","01:08:00","February 18, 2022","9","","Ludwigshafen, Philharmonie","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Concerto","https://www.allmusic.com/style/concerto-ma0000012338","Boisterous;Bombastic;Brassy;Dark;Flashy;Flowing;Improvisatory;Light;Ornate;Rustic;Spontaneous","https://www.allmusic.com/mood/boisterous-xa0000000699;https://www.allmusic.com/mood/bombastic-xa0000000948;https://www.allmusic.com/mood/brassy-xa0000000950;https://www.allmusic.com/mood/dark-xa0000000970;https://www.allmusic.com/mood/flashy-xa0000001003;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/improvisatory-xa0000001023;https://www.allmusic.com/mood/light-xa0000001035;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/spontaneous-xa0000001106","","","https://www.allmusic.com/album/ernst-von-dohn%C3%A1nyi-concertos-variations-on-a-nursery-song-mw0003648345"
"Butterfly 3001","01:54:22","January 21, 2022","7",NA,"","Electronic;Pop/Rock","https://www.allmusic.com/genre/electronic-ma0000002572;https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative Dance;Indie Electronic;Alternative/Indie Rock;Club/Dance;Left-Field House;Neo-Psychedelia;House;Jungle/Drum'n'Bass","https://www.allmusic.com/style/alternative-dance-ma0000011883;https://www.allmusic.com/style/indie-electronic-ma0000012275;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/club-dance-ma0000002544;https://www.allmusic.com/style/left-field-house-ma0000012312;https://www.allmusic.com/style/neo-psychedelia-ma0000012252;https://www.allmusic.com/style/house-ma0000002651;https://www.allmusic.com/style/jungle-drumnbass-ma0000002557","Powerful;Whimsical;Ambitious;Cathartic;Celebratory;Eccentric;Flowing;Fractured;Freewheeling;Intense;Knotty;Lively;Playful;Rollicking;Rousing;Scattered;Spacey;Visceral;Volatile;Witty;Amiable/Good-Natured;Boisterous;Bright;Complex;Dreamy;Enigmatic;Fun;Giddy;Innocent;Meandering;Pastoral;Ramshackle;Sprawling;Sprightly;Summery;Trippy;Urgent;Rambunctious;Extroverted;Druggy","https://www.allmusic.com/mood/powerful-xa0000000747;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/fractured-xa0000001004;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/knotty-xa0000001031;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/rollicking-xa0000001080;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/scattered-xa0000001087;https://www.allmusic.com/mood/spacey-xa0000001101;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/witty-xa0000001143;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/boisterous-xa0000000699;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/fun-xa0000001006;https://www.allmusic.com/mood/giddy-xa0000001009;https://www.allmusic.com/mood/innocent-xa0000001025;https://www.allmusic.com/mood/meandering-xa0000001044;https://www.allmusic.com/mood/pastoral-xa0000000745;https://www.allmusic.com/mood/ramshackle-xa0000001072;https://www.allmusic.com/mood/sprawling-xa0000001108;https://www.allmusic.com/mood/sprightly-xa0000001109;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/trippy-xa0000000749;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/rambunctious-xa0000001071;https://www.allmusic.com/mood/extroverted-xa0000000996;https://www.allmusic.com/mood/druggy-xa0000000979","Daydreaming;Hanging Out;Imagination;Freedom;SciFi;Drugs;Other Times & Places","https://www.allmusic.com/theme/daydreaming-ma0000006270;https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/freedom-ma0000005063;https://www.allmusic.com/theme/scifi-ma0000005103;https://www.allmusic.com/theme/drugs-ma0000004254;https://www.allmusic.com/theme/other-times-places-ma0000006277","https://www.allmusic.com/album/butterfly-3001-mw0003652045"
"Fanny Hensel & Felix Mendelssohn Bartholdy: Arias, Lieder, Overtures","01:05:00","February 25, 2022","9","","Bavaria Musikstudios, Munich","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Vocal Music;Orchestral","https://www.allmusic.com/style/vocal-music-ma0000004520;https://www.allmusic.com/style/orchestral-ma0000004499","Angry;Desperate;Dramatic;Flowing;Happy;Lyrical;Melodic;Romantic;Springlike;Warm;Yearning","https://www.allmusic.com/mood/angry-xa0000000695;https://www.allmusic.com/mood/desperate-xa0000000974;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/happy-xa0000001016;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/springlike-xa0000001110;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/yearning-xa0000000733","","","https://www.allmusic.com/album/fanny-hensel-felix-mendelssohn-bartholdy-arias-lieder-overtures-mw0003652513"
"J.S. Bach: Matthäus-Passion","02:41:01","March 11, 2022","9","April, 2021","Grande Salle Pierre Boulez, Philharmonie de Paris, France","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Choral","https://www.allmusic.com/style/choral-ma0000004509","Animated;Complex;Declamatory;Devotional;Elegant;Majestic;Meditative;Melodic;Opulent;Ornate;Reflective;Somber;Spiritual","https://www.allmusic.com/mood/animated-xa0000000937;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/declamatory-xa0000000971;https://www.allmusic.com/mood/devotional-xa0000000975;https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/majestic-xa0000000728;https://www.allmusic.com/mood/meditative-xa0000000732;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/opulent-xa0000001056;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/somber-xa0000001098;https://www.allmusic.com/mood/spiritual-xa0000001105","Easter;Religion","https://www.allmusic.com/theme/easter-ma0000006271;https://www.allmusic.com/theme/religion-ma0000005098","https://www.allmusic.com/album/js-bach-matth%C3%A4us-passion-mw0003654328"
"Songs of the Recollection","43:03","March 25, 2022","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Adult Alternative Pop/Rock;Alternative Country-Rock;College Rock","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/adult-alternative-pop-rock-ma0000004488;https://www.allmusic.com/style/alternative-country-rock-ma0000012294;https://www.allmusic.com/style/college-rock-ma0000012237","Autumnal;Bittersweet;Gentle;Intimate;Nocturnal;Organic;Reflective;Warm;Calm/Peaceful;Earnest;Melancholy;Plaintive;Wistful;Cerebral;Hypnotic;Laid-Back/Mellow;Literate;Poignant;Sophisticated","https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/plaintive-xa0000001066;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/sophisticated-xa0000001100","Feeling Blue;Late Night;Heartache;Solitude","https://www.allmusic.com/theme/feeling-blue-ma0000004251;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/solitude-ma0000006313","https://www.allmusic.com/album/songs-of-the-recollection-mw0003654523"
"A Night in London","01:17:53","March 4, 2022","9","September 27, 2021 & December 30, 2021","Little Tribeca in Paris;Temple Saint-Pierre, Paris","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Concerto;Vocal Music","https://www.allmusic.com/style/concerto-ma0000012338;https://www.allmusic.com/style/vocal-music-ma0000004520","Amiable/Good-Natured;Animated;Energetic;Feverish;Melancholy;Melodic;Opulent;Ornate;Reflective;Rustic;Urgent","https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/animated-xa0000000937;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/feverish-xa0000001000;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/opulent-xa0000001056;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/urgent-xa0000001133","","","https://www.allmusic.com/album/a-night-in-london-mw0003655312"
"Brahms: String Sextets","01:15:48","March 11, 2022","9","March, 2021","Konzerthaus, Vienna, Austria","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","Complex;Exploratory;Flowing;Intimate;Lyrical;Melodic;Organic;Ornate;Rustic;Shimmering","https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/exploratory-xa0000001441;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/shimmering-xa0000001092","","","https://www.allmusic.com/album/brahms-string-sextets-mw0003655327"
"Dance With Me","46:34","March 11, 2022","9","May, 2021","MCO Studio 5, Hilversum, The Netherlands","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Classical Crossover;Vocal Music;Orchestral","https://www.allmusic.com/style/classical-crossover-ma0000004504;https://www.allmusic.com/style/vocal-music-ma0000004520;https://www.allmusic.com/style/orchestral-ma0000004499","Carefree;Cheerful;Cosmopolitan;Effervescent;Energetic;Exotic;Lively;Lyrical;Melodic;Nostalgic;Playful;Sentimental;Stylish;Swinging;Warm;Whimsical;Yearning","https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/cosmopolitan-xa0000000967;https://www.allmusic.com/mood/effervescent-xa0000000986;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/exotic-xa0000000995;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/nostalgic-xa0000000742;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/swinging-xa0000000774;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/yearning-xa0000000733","","","https://www.allmusic.com/album/dance-with-me-mw0003655333"
"Sibelius","04:24:51","March 25, 2022","9","February 4, 2021 & February 5, 2021","Konserthus, Oslo, Norway","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Orchestral;Symphony","https://www.allmusic.com/style/orchestral-ma0000004499;https://www.allmusic.com/style/symphony-ma0000012291","Austere;Capricious;Driving;Energetic;Enigmatic;Epic;Heroic;Lush;Lyrical;Melodic;Monumental;Rousing;Rustic;Triumphant;Turbulent;Yearning","https://www.allmusic.com/mood/austere-xa0000000942;https://www.allmusic.com/mood/capricious-xa0000000956;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/epic-xa0000000992;https://www.allmusic.com/mood/heroic-xa0000001019;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/monumental-xa0000001048;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/triumphant-xa0000001126;https://www.allmusic.com/mood/turbulent-xa0000001128;https://www.allmusic.com/mood/yearning-xa0000000733","","","https://www.allmusic.com/album/sibelius-mw0003656495"
