artist_id,artist_name,url
mn0002232728,Georg Caspar Schürmann,https://www.allmusic.com/artist/georg-caspar-sch%C3%BCrmann-mn0002232728
mn0002147551,Carlo Pallavicino,https://www.allmusic.com/artist/carlo-pallavicino-mn0002147551
mn0001546535,André Danican Philidor,https://www.allmusic.com/artist/andr%C3%A9-danican-philidor-mn0001546535
mn0001165311,Louis Couperin,https://www.allmusic.com/artist/louis-couperin-mn0001165311
mn0001197971,André Cardinal Destouches,https://www.allmusic.com/artist/andr%C3%A9-cardinal-destouches-mn0001197971
mn0003276788,Jean Rondeau,https://www.allmusic.com/artist/jean-rondeau-mn0003276788
mn0002949241,Thomas Dunford,https://www.allmusic.com/artist/thomas-dunford-mn0002949241
mn0001804880,Emily Dickens,https://www.allmusic.com/artist/emily-dickens-mn0001804880
mn0003256576,Paul Smith,https://www.allmusic.com/artist/paul-smith-mn0003256576
mn0004035795,Taylor Scott Davis,https://www.allmusic.com/artist/taylor-scott-davis-mn0004035795
mn0000392171,Michael McGlynn,https://www.allmusic.com/artist/michael-mcglynn-mn0000392171
mn0003838843,Fraser Wilson,https://www.allmusic.com/artist/fraser-wilson-mn0003838843
mn0001484012,David Fawcett,https://www.allmusic.com/artist/david-fawcett-mn0001484012
mn0001561497,Christoph Bernhard,https://www.allmusic.com/artist/christoph-bernhard-mn0001561497
mn0002163396,Johann Michael Nicolai,https://www.allmusic.com/artist/johann-michael-nicolai-mn0002163396
mn0001866684,Karl Heinrich Biber von Bibern,https://www.allmusic.com/artist/karl-heinrich-biber-von-bibern-mn0001866684
mn0003201678,New Bums,https://www.allmusic.com/artist/new-bums-mn0003201678
mn0000211300,Ben Chasny,https://www.allmusic.com/artist/ben-chasny-mn0000211300
mn0000249207,Donovan Quinn,https://www.allmusic.com/artist/donovan-quinn-mn0000249207
mn0003772089,Art d'Ecco,https://www.allmusic.com/artist/art-decco-mn0003772089
mn0000056413,Pablo Casals,https://www.allmusic.com/artist/pablo-casals-mn0000056413
mn0003076309,Esther Rose,https://www.allmusic.com/artist/esther-rose-mn0003076309
mn0001921111,Stephen Rush,https://www.allmusic.com/artist/stephen-rush-mn0001921111
mn0001611001,Giovanni Battista Viotti,https://www.allmusic.com/artist/giovanni-battista-viotti-mn0001611001
mn0002726864,Hélène de Montgeroult,https://www.allmusic.com/artist/h%C3%A9l%C3%A8ne-de-montgeroult-mn0002726864
mn0000965907,Oley Speaks,https://www.allmusic.com/artist/oley-speaks-mn0000965907
mn0004110720,Leonardo Dugan,https://www.allmusic.com/artist/leonardo-dugan-mn0004110720
mn0000266160,Pete Seeger,https://www.allmusic.com/artist/pete-seeger-mn0000266160
mn0001507671,Rudi Stephan,https://www.allmusic.com/artist/rudi-stephan-mn0001507671
mn0000045535,Ivor Novello,https://www.allmusic.com/artist/ivor-novello-mn0000045535
mn0003960214,Cassandra Miller,https://www.allmusic.com/artist/cassandra-miller-mn0003960214
mn0002221505,Scottish Traditional,https://www.allmusic.com/artist/scottish-traditional-mn0002221505
