"album_id","album_name","duration","release_date","all_music_rating","url"
"mw0003549487","an orchestrated songbook","01:18:49",2021-12-10,7,"https://www.allmusic.com/album/an-orchestrated-songbook-mw0003549487"
"mw0003469664","griot: this is important!","48:02",2021-02-12,9,"https://www.allmusic.com/album/griot-this-is-important%21-mw0003469664"
"mw0003569933","dear love",NA,2021-09-10,9,"https://www.allmusic.com/album/dear-love-mw0003569933"
"mw0003575683","hodie christus natus est: a medieval christmas","58:00",2021-10-29,9,"https://www.allmusic.com/album/hodie-christus-natus-est-a-medieval-christmas-mw0003575683"
"mw0003536362","go find the moon: the audition tape","18:26",2021-09-10,7,"https://www.allmusic.com/album/go-find-the-moon-the-audition-tape-mw0003536362"
"mw0003537894","sob rock","38:24",2021-07-16,7,"https://www.allmusic.com/album/sob-rock-mw0003537894"
"mw0003579353","time clocks","56:49",2021-10-29,7,"https://www.allmusic.com/album/time-clocks-mw0003579353"
"mw0003583735","amata dalle tenebre","01:07:19",2021-11-05,9,"https://www.allmusic.com/album/amata-dalle-tenebre-mw0003583735"
"mw0003583891","in the meantime","54:19",2021-09-24,8,"https://www.allmusic.com/album/in-the-meantime-mw0003583891"
"mw0003524952","taste of love","17:21",2021-06-11,8,"https://www.allmusic.com/album/taste-of-love-mw0003524952"
"mw0003500846","westward bound!","01:12:11",2021-06-18,8,"https://www.allmusic.com/album/westward-bound%21-mw0003500846"
"mw0003542892","remixes",NA,2021-06-12,6,"https://www.allmusic.com/album/remixes-mw0003542892"
"mw0003446258","catspaw","39:55",2021-01-15,8,"https://www.allmusic.com/album/catspaw-mw0003446258"
"mw0003456232","contralto","01:20:09",2021-01-15,10,"https://www.allmusic.com/album/contralto-mw0003456232"
"mw0003553639","headsoup","49:44",2021-08-27,9,"https://www.allmusic.com/album/headsoup-mw0003553639"
"mw0003557474","the solution is restless","55:42",2021-11-05,8,"https://www.allmusic.com/album/the-solution-is-restless-mw0003557474"
"mw0003558845","mirror mirror","47:46",2021-09-10,8,"https://www.allmusic.com/album/mirror-mirror-mw0003558845"
"mw0003564125","pinky's blues","42:26",2021-10-22,8,"https://www.allmusic.com/album/pinkys-blues-mw0003564125"
"mw0003484772","l.w.","42:10",2021-02-26,8,"https://www.allmusic.com/album/lw-mw0003484772"
"mw0003488341","ysaÿe: sonatas for solo violin","01:05:39",2021-04-30,10,"https://www.allmusic.com/album/ysa%C3%BFe-sonatas-for-solo-violin-mw0003488341"
"mw0003489400","rosegold","31:11",2021-04-30,8,"https://www.allmusic.com/album/rosegold-mw0003489400"
"mw0003490337","g_d's pee at state's end!","52:37",2021-04-02,8,"https://www.allmusic.com/album/g-ds-pee-at-states-end%21-mw0003490337"
"mw0003490827","ghost trains & country lanes: studio, stage & sessions 1984-2015","01:37:43",2021-04-23,9,"https://www.allmusic.com/album/ghost-trains-country-lanes-studio-stage-sessions-1984-2015-mw0003490827"
"mw0003495518","a touch of the beat gets you up on your feet gets you out and then into the sun",NA,2021-05-07,9,"https://www.allmusic.com/album/a-touch-of-the-beat-gets-you-up-on-your-feet-gets-you-out-and-then-into-the-sun-mw0003495518"
"mw0003499815","hardware","36:54",2021-06-04,8,"https://www.allmusic.com/album/hardware-mw0003499815"
"mw0003500493","never the right time","40:32",2021-04-16,8,"https://www.allmusic.com/album/never-the-right-time-mw0003500493"
"mw0003464767","english music for strings: britten, bliss, bridge, berkeley","01:04:33",2021-02-05,10,"https://www.allmusic.com/album/english-music-for-strings-britten-bliss-bridge-berkeley-mw0003464767"
"mw0003507532","liszt: inspirations","01:17:08",2021-06-25,10,"https://www.allmusic.com/album/liszt-inspirations-mw0003507532"
"mw0003509677","vweto iii",NA,2021-05-21,8,"https://www.allmusic.com/album/vweto-iii-mw0003509677"
"mw0003511804","rupt and flex (1994-1996)","04:04:07",2021-05-14,8,"https://www.allmusic.com/album/rupt-and-flex-1994-1996-mw0003511804"
"mw0003513637","joao donato jid007","26:45",2021-06-04,8,"https://www.allmusic.com/album/joao-donato-jid007-mw0003513637"
"mw0003545254","helloween [2021]","01:05:04",2021-06-18,8,"https://www.allmusic.com/album/helloween-2021--mw0003545254"
"mw0003474587","haydn: piano sonatas, vol. 9","01:12:05",2021-03-05,10,"https://www.allmusic.com/album/haydn-piano-sonatas-vol-9-mw0003474587"
"mw0003475353","they're calling me home","45:49",2021-04-09,8,"https://www.allmusic.com/album/theyre-calling-me-home-mw0003475353"
"mw0003476086","blood","33:26",2021-05-14,8,"https://www.allmusic.com/album/blood-mw0003476086"
"mw0003498913","sentiments","21:54",2021-04-16,NA,"https://www.allmusic.com/album/sentiments-mw0003498913"
"mw0003500755","jenni rivera: mariposa de barrio [soundtrack de la serie]",NA,2021-03-05,NA,"https://www.allmusic.com/album/jenni-rivera-mariposa-de-barrio-soundtrack-de-la-serie--mw0003500755"
"mw0003500831","butter miracle, suite one","19:22",2021-05-21,NA,"https://www.allmusic.com/album/butter-miracle-suite-one-mw0003500831"
"mw0003501088","en contra de mi voluntad","44:21",2021-03-19,NA,"https://www.allmusic.com/album/en-contra-de-mi-voluntad-mw0003501088"
"mw0003501263","old church basement","01:43:53",2021-05-21,NA,"https://www.allmusic.com/album/old-church-basement-mw0003501263"
"mw0003503835","haydn: die schöpfung, hob. xxi:2 - pt. 1. nun schwanden vor dem heiligen strahle","04:10",2021-04-09,NA,"https://www.allmusic.com/album/haydn-die-sch%C3%B6pfung-hob-xxi-2-pt-1-nun-schwanden-vor-dem-heiligen-strahle-mw0003503835"
"mw0003503843","haydn: die schöpfung, hob. xxi:2 - pt. 1. ouvertüre. die vorstellung des chaos","06:13",2021-03-26,NA,"https://www.allmusic.com/album/haydn-die-sch%C3%B6pfung-hob-xxi-2-pt-1-ouvert%C3%BCre-die-vorstellung-des-chaos-mw0003503843"
"mw0003468805","new truck","02:22",2021-01-08,NA,"https://www.allmusic.com/album/new-truck-mw0003468805"
"mw0003469188","beautiful","04:11",2021-01-15,NA,"https://www.allmusic.com/album/beautiful-mw0003469188"
"mw0003469208","lucky star","03:03",2021-02-05,NA,"https://www.allmusic.com/album/lucky-star-mw0003469208"
"mw0003469214","the things you do to me","03:17",2021-02-05,NA,"https://www.allmusic.com/album/the-things-you-do-to-me-mw0003469214"
"mw0003507370","jireh",NA,NA,NA,"https://www.allmusic.com/album/jireh-mw0003507370"
"mw0003512000","best of cher [video]",NA,2021-03-12,NA,"https://www.allmusic.com/album/best-of-cher-video--mw0003512000"
"mw0003599531","sings morricone","56:30",2021-11-05,NA,"https://www.allmusic.com/album/sings-morricone-mw0003599531"
"mw0003602684","cocaine muzik 4: gangsta grillz","47:46",2021-09-27,NA,"https://www.allmusic.com/album/cocaine-muzik-4-gangsta-grillz-mw0003602684"
"mw0003605147","murd & mercy","44:09",2021-10-28,NA,"https://www.allmusic.com/album/murd-mercy-mw0003605147"
"mw0003606652","kidz bop megapop","06:54:21",2021-10-08,NA,"https://www.allmusic.com/album/kidz-bop-megapop-mw0003606652"
"mw0003542503","reveries","03:04",2021-06-04,NA,"https://www.allmusic.com/album/reveries-mw0003542503"
"mw0003541693","bésame","02:50",2021-06-04,NA,"https://www.allmusic.com/album/b%C3%A9same-mw0003541693"
"mw0003546013","supersonic (my existence)",NA,2021-06-10,NA,"https://www.allmusic.com/album/supersonic-my-existence-mw0003546013"
"mw0003547844","live in concert","51:36",2021-06-11,NA,"https://www.allmusic.com/album/live-in-concert-mw0003547844"
"mw0003551272","too official","02:44",2021-07-02,NA,"https://www.allmusic.com/album/too-official-mw0003551272"
"mw0003777895","ibiza mix 90s","01:01:32",2021-10-22,NA,"https://www.allmusic.com/album/ibiza-mix-90s-mw0003777895"
"mw0003470040","lo más romántico de","01:09:56",2021-01-14,NA,"https://www.allmusic.com/album/lo-m%C3%A1s-rom%C3%A1ntico-de-mw0003470040"
"mw0003472124","key a: third eye","21:33",2021-01-15,NA,"https://www.allmusic.com/album/key-a-third-eye-mw0003472124"
"mw0003472320","take me higher",NA,2021-01-20,NA,"https://www.allmusic.com/album/take-me-higher-mw0003472320"
"mw0003477361","volume 1","44:54",2021-03-19,NA,"https://www.allmusic.com/album/volume-1-mw0003477361"
"mw0003629378","we need christmas","40:22",2021-10-29,NA,"https://www.allmusic.com/album/we-need-christmas-mw0003629378"
