"album_id","style_id"
"mw0003583891","ma0000012254"
"mw0003583891","ma0000002969"
"mw0003524952","ma0000011907"
"mw0003524952","ma0000012169"
"mw0003500846","ma0000002933"
"mw0003500846","ma0000002634"
"mw0003500846","ma0000002947"
"mw0003500846","ma0000002479"
"mw0003542892","ma0000002969"
"mw0003542892","ma0000012131"
"mw0003542892","ma0000004426"
"mw0003446258","ma0000012230"
"mw0003446258","ma0000002793"
"mw0003446258","ma0000004488"
"mw0003456232","ma0000004520"
"mw0003553639","ma0000012252"
"mw0003553639","ma0000012218"
"mw0003553639","ma0000012230"
"mw0003557474","ma0000012100"
"mw0003557474","ma0000004453"
"mw0003557474","ma0000012230"
"mw0003558845","ma0000002464"
"mw0003558845","ma0000002476"
"mw0003558845","ma0000005010"
"mw0003558845","ma0000012260"
"mw0003558845","ma0000012256"
"mw0003558845","ma0000012262"
"mw0003558845","ma0000002478"
"mw0003558845","ma0000002477"
"mw0003558845","ma0000011930"
"mw0003558845","ma0000002540"
"mw0003558845","ma0000002947"
"mw0003564125","ma0000002960"
"mw0003564125","ma0000011944"
"mw0003564125","ma0000012340"
"mw0003564125","ma0000002821"
"mw0003564125","ma0000004996"
"mw0003484772","ma0000012230"
"mw0003484772","ma0000004453"
"mw0003484772","ma0000012218"
"mw0003484772","ma0000012252"
"mw0003488341","ma0000004500"
"mw0003489400","ma0000002946"
"mw0003489400","ma0000004416"
"mw0003490337","ma0000002790"
"mw0003490337","ma0000012230"
"mw0003490337","ma0000002583"
"mw0003490337","ma0000004453"
"mw0003490827","ma0000012349"
"mw0003490827","ma0000004494"
"mw0003490827","ma0000012230"
"mw0003495518","ma0000012254"
"mw0003495518","ma0000013523"
"mw0003495518","ma0000012268"
"mw0003499815","ma0000004459"
"mw0003499815","ma0000002468"
"mw0003499815","ma0000011815"
"mw0003499815","ma0000002636"
"mw0003499815","ma0000002872"
"mw0003500493","ma0000012244"
"mw0003500493","ma0000002893"
"mw0003464767","ma0000004499"
"mw0003507532","ma0000011828"
"mw0003509677","ma0000002810"
"mw0003509677","ma0000013592"
"mw0003509677","ma0000002606"
"mw0003509677","ma0000011909"
"mw0003511804","ma0000012032"
"mw0003511804","ma0000011811"
"mw0003511804","ma0000004477"
"mw0003511804","ma0000012244"
"mw0003511804","ma0000012303"
"mw0003513637","ma0000011905"
"mw0003513637","ma0000002842"
"mw0003513637","ma0000002548"
"mw0003513637","ma0000002478"
"mw0003513637","ma0000002464"
"mw0003513637","ma0000012098"
"mw0003545254","ma0000011913"
"mw0003545254","ma0000002721"
"mw0003545254","ma0000002797"
"mw0003474587","ma0000011828"
"mw0003475353","ma0000012282"
"mw0003475353","ma0000002880"
"mw0003475353","ma0000011990"
"mw0003475353","ma0000002821"
"mw0003475353","ma0000002466"
"mw0003475353","ma0000002946"
"mw0003475353","ma0000002533"
"mw0003475353","ma0000012184"
"mw0003476086","ma0000004488"
"mw0003476086","ma0000004453"
"mw0003476086","ma0000012230"
"mw0003498913",NA
"mw0003500755","ma0000002447"
"mw0003500755","ma0000002722"
"mw0003500755","ma0000012200"
"mw0003500755","ma0000002867"
"mw0003500831","ma0000004488"
"mw0003500831","ma0000012230"
"mw0003500831","ma0000012033"
"mw0003501088","ma0000002722"
"mw0003501263","ma0000012284"
"mw0003501263","ma0000002529"
"mw0003501263","ma0000004439"
"mw0003501263","ma0000002622"
"mw0003503835","ma0000004520"
"mw0003503843","ma0000004520"
"mw0003468805",NA
"mw0003469188",NA
"mw0003469208",NA
"mw0003469214",NA
"mw0003507370",NA
"mw0003512000",NA
"mw0003599531","ma0000004504"
"mw0003602684",NA
"mw0003605147",NA
"mw0003606652",NA
"mw0003542503",NA
"mw0003541693","ma0000002696"
"mw0003546013",NA
"mw0003547844",NA
"mw0003551272",NA
"mw0003777895","ma0000002544"
"mw0003470040","ma0000002722"
"mw0003472124","ma0000002969"
"mw0003472320",NA
"mw0003477361","ma0000004443"
"mw0003629378","ma0000011929"
"mw0003629378","ma0000012148"
"mw0003632587","ma0000002867"
"mw0003566133","ma0000002696"
"mw0003567909",NA
"mw0003575276","ma0000004443"
"mw0003530919",NA
"mw0003534859",NA
"mw0003658037",NA
"mw0003686574",NA
"mw0003691484","ma0000002969"
"mw0003586852",NA
"mw0003585370","ma0000012171"
"mw0003595562",NA
"mw0003595326",NA
"mw0003597931",NA
"mw0003577880",NA
"mw0002816323",NA
"mw0003451952",NA
"mw0003559070",NA
"mw0003563694",NA
"mw0003481296",NA
"mw0003489919","ma0000002875"
"mw0003610528","ma0000012230"
"mw0003616770","ma0000012230"
"mw0003619103","ma0000012100"
"mw0003619103","ma0000012230"
"mw0003619103","ma0000012148"
"mw0003619103","ma0000012149"
"mw0003515694",NA
"mw0003524954","ma0000012100"
"mw0003524954","ma0000012230"
"mw0003524954","ma0000012149"
"mw0003494013","ma0000002948"
"mw0003498002",NA
"mw0003465673",NA
"mw0003469285",NA
"mw0003506172",NA
"mw0003509107","ma0000002875"
"mw0003511810","ma0000012244"
"mw0003511810","ma0000012032"
"mw0003511810","ma0000012303"
"mw0003511810","ma0000002574"
"mw0003511810","ma0000004477"
"mw0003604371",NA
"mw0003606873","ma0000012320"
"mw0003606873","ma0000012203"
"mw0003606873","ma0000012180"
"mw0003606873","ma0000002563"
"mw0003606873","ma0000013375"
"mw0003607558",NA
"mw0003542857",NA
"mw0003548157",NA
"mw0003548600","ma0000012100"
"mw0003548600","ma0000012230"
"mw0003548600","ma0000012149"
"mw0003472719",NA
"mw0003475295",NA
"mw0003478979",NA
"mw0003710893","ma0000012215"
"mw0003710893","ma0000004930"
"mw0003627974",NA
"mw0003632846","ma0000002571"
"mw0003575129",NA
"mw0003530800",NA
"mw0003654648",NA
"mw0003587444",NA
"mw0003587469",NA
"mw0003596488",NA
"mw0003477524","ma0000004461"
"mw0003477524","ma0000012254"
"mw0003477524","ma0000002976"
"mw0003477904","ma0000004500"
"mw0003628349","ma0000012210"
"mw0003628349","ma0000013523"
"mw0003628349","ma0000011909"
"mw0003628350","ma0000012210"
"mw0003628350","ma0000012254"
"mw0003628350","ma0000013523"
"mw0003628351","ma0000012210"
"mw0003628351","ma0000012254"
"mw0003628351","ma0000013523"
"mw0003568349","ma0000012230"
