"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","Hard Times/Love Action","10:09","https://www.allmusic.com/song/hard-times-love-action-mt0062489168","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","John William Callis;Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"2","Hard Times","04:46","https://www.allmusic.com/song/hard-times-mt0062489158","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","John William Callis;Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"3","Tom Baker","04:02","https://www.allmusic.com/song/tom-baker-mt0062489173","https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"4","Boys and Girls","03:15","https://www.allmusic.com/song/boys-and-girls-mt0062489163","https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"5","Dancevision","02:22","https://www.allmusic.com/song/dancevision-mt0062489161","https://www.allmusic.com/artist/ian-craig-marsh-mn0000089662;https://www.allmusic.com/artist/martyn-ware-mn0000378676","Ian Craig Marsh;Martyn Ware","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"6","Non-Stop","04:15","https://www.allmusic.com/song/non-stop-mt0062489162","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-adrian-wright-mn0000729475","John William Callis;Philip Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"7","The Sound of the Crowd [Add Your Voice]","04:10","https://www.allmusic.com/song/the-sound-of-the-crowd-add-your-voice--mt0062489159","https://www.allmusic.com/artist/ian-burden-mn0000382791;https://www.allmusic.com/artist/philip-oakey-mn0000697699","Ian Burden;Philip Oakey","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"8","Hard Times/Love Action","11:10","https://www.allmusic.com/song/hard-times-love-action-mt0062489166","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","John William Callis;Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"9","Love Action (I Believe in Love)","03:59","https://www.allmusic.com/song/love-action-i-believe-in-love-mt0062489171","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","John William Callis;Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"10","The Sound of the Crowd","06:25","https://www.allmusic.com/song/the-sound-of-the-crowd-mt0062489164","https://www.allmusic.com/artist/ian-burden-mn0000382791;https://www.allmusic.com/artist/philip-oakey-mn0000697699","Ian Burden;Philip Oakey","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"11","Don't You Want Me","07:30","https://www.allmusic.com/song/dont-you-want-me-mt0062489170","https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","John William Callis;Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"12","Open Your Heart/Non-Stop","08:15","https://www.allmusic.com/song/open-your-heart-non-stop-mt0062489160","https://www.allmusic.com/artist/jo-callis-mn0000331704;https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/philip-adrian-wright-mn0000729475","Jo Callis;John William Callis;Philip Oakey;Philip Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"13","Open Your Heart/Non-Stop","08:41","https://www.allmusic.com/song/open-your-heart-non-stop-mt0062489169","https://www.allmusic.com/artist/jo-callis-mn0000331704;https://www.allmusic.com/artist/john-william-callis-mn0002995488;https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/philip-adrian-wright-mn0000729475","Jo Callis;John William Callis;Philip Oakey;Philip Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"14","Darkness","04:19","https://www.allmusic.com/song/darkness-mt0062489165","https://www.allmusic.com/artist/jo-callis-mn0000331704;https://www.allmusic.com/artist/adrian-wright-mn0001230283","Jo Callis;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"15","Do or Die","06:33","https://www.allmusic.com/song/do-or-die-mt0062489172","https://www.allmusic.com/artist/ian-burden-mn0000382791;https://www.allmusic.com/artist/philip-oakey-mn0000697699","Ian Burden;Philip Oakey","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"16","I Am the Law","04:20","https://www.allmusic.com/song/i-am-the-law-mt0062489167","https://www.allmusic.com/artist/philip-oakey-mn0000697699;https://www.allmusic.com/artist/adrian-wright-mn0001230283","Philip Oakey;Adrian Wright","https://www.allmusic.com/artist/the-human-league-mn0000895443","The Human League","https://www.allmusic.com/album/dare-singles-remixes-mw0004047289"
"1","Your Love is King","","https://www.allmusic.com/song/your-love-is-king-mt0062120176","","","https://www.allmusic.com/artist/sade-mn0000279337","Sade","https://www.allmusic.com/album/the-early-broadcasts-1984-1986-mw0003980193"
"2","Hang on to Your Love","","https://www.allmusic.com/song/hang-on-to-your-love-mt0062120172","","","https://www.allmusic.com/artist/sade-mn0000279337","Sade","https://www.allmusic.com/album/the-early-broadcasts-1984-1986-mw0003980193"
"3","Sally","","https://www.allmusic.com/song/sally-mt0062120180","","","https://www.allmusic.com/artist/sade-mn0000279337","Sade","https://www.allmusic.com/album/the-early-broadcasts-1984-1986-mw0003980193"
