"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Max Richter: The New Four Seasons - Vivaldi Recomposed","39:57","June 10, 2022","8","November 29, 2021 & November 30, 2021","Studio Richter Mahr, Oxfordshire","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Classical Crossover;Concerto","https://www.allmusic.com/style/classical-crossover-ma0000004504;https://www.allmusic.com/style/concerto-ma0000012338","Bright;Complex;Delicate;Dramatic;Driving;Exploratory;Exuberant;Flowing;Lyrical;Melodic;Opulent;Refined;Reflective;Shimmering;Theatrical","https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/exploratory-xa0000001441;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/opulent-xa0000001056;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/shimmering-xa0000001092;https://www.allmusic.com/mood/theatrical-xa0000001120","","","https://www.allmusic.com/album/max-richter-the-new-four-seasons-vivaldi-recomposed-mw0003694985"
"Meet the Moonlight","35:26","June 24, 2022","8",NA,"EastWest Studios, Los Angeles, CA;Sound City Studios;The Mango Tree, Hale'iwa, Hawai'i","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Adult Alternative Pop/Rock;Alternative/Indie Rock;Contemporary Singer/Songwriter","https://www.allmusic.com/style/adult-alternative-pop-rock-ma0000004488;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/contemporary-singer-songwriter-ma0000012268","Amiable/Good-Natured;Confident;Gentle;Laid-Back/Mellow;Intimate;Reflective;Soothing;Springlike;Calm/Peaceful;Carefree;Cheerful;Delicate;Earnest;Literate;Playful;Quirky;Summery;Warm","https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/soothing-xa0000001099;https://www.allmusic.com/mood/springlike-xa0000001110;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/quirky-xa0000000743;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/warm-xa0000001138","At the Beach;Relaxation;Long Walk;Sunday Afternoon;Comfort","https://www.allmusic.com/theme/at-the-beach-ma0000005034;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/long-walk-ma0000006317;https://www.allmusic.com/theme/sunday-afternoon-ma0000006310;https://www.allmusic.com/theme/comfort-ma0000006325","https://www.allmusic.com/album/meet-the-moonlight-mw0003700705"
"Humble Quest","37:28","March 25, 2022","8",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","Contemporary Country;Country-Pop","https://www.allmusic.com/style/contemporary-country-ma0000002946;https://www.allmusic.com/style/country-pop-ma0000004416","Strong;Bittersweet;Earnest;Energetic;Reflective;Sweet;Warm;Wistful;Amiable/Good-Natured;Intimate;Literate;Sentimental;Shimmering;Smooth;Poignant","https://www.allmusic.com/mood/strong-xa0000000772;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sweet-xa0000000773;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/shimmering-xa0000001092;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/poignant-xa0000001068","Empowerment;Girls Night Out;Daydreaming;Good Times;Happiness;Longing;Healing/Comfort;Open Road;Affection/Fondness;Day Driving;Lifecycle","https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/girls-night-out-ma0000006292;https://www.allmusic.com/theme/daydreaming-ma0000006270;https://www.allmusic.com/theme/good-times-ma0000006282;https://www.allmusic.com/theme/happiness-ma0000005066;https://www.allmusic.com/theme/longing-ma0000013573;https://www.allmusic.com/theme/healing-comfort-ma0000006273;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/day-driving-ma0000006330;https://www.allmusic.com/theme/lifecycle-ma0000005075","https://www.allmusic.com/album/humble-quest-mw0003652507"
"Dance Fever","47:08","May 13, 2022","8",NA,"Electric Lady Studios (New York, NY);Guilford Sound (VT);RAK (London, UK);Real World;The Bridge, London;The Pool, London","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Adult Alternative Pop/Rock;Pop;Left-Field Pop","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/adult-alternative-pop-rock-ma0000004488;https://www.allmusic.com/style/pop-ma0000012254;https://www.allmusic.com/style/left-field-pop-ma0000013523","Anthemic;Cathartic;Confessional;Confident;Dignified/Noble;Dramatic;Introspective;Majestic;Poignant;Powerful;Theatrical;Urgent;Angst-Ridden;Brooding;Devotional;Intense;Nocturnal;Passionate;Pastoral;Reflective;Sacred;Visceral;Bittersweet;Fierce;Literate;Menacing;Organic;Paranoid;Refined;Volatile;Airy;Autumnal;Capricious;Enigmatic;Searching;Strong;Warm;Wistful;Yearning;Brash;Calm/Peaceful;Intimate;Restrained;Smooth;Improvisatory","https://www.allmusic.com/mood/anthemic-xa0000001436;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/confessional-xa0000001440;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/dignified-noble-xa0000000977;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/introspective-xa0000001027;https://www.allmusic.com/mood/majestic-xa0000000728;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/powerful-xa0000000747;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/angst-ridden-xa0000000935;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/devotional-xa0000000975;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/pastoral-xa0000000745;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sacred-xa0000000760;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/fierce-xa0000001001;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/paranoid-xa0000001061;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/airy-xa0000000932;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/capricious-xa0000000956;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/strong-xa0000000772;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/brash-xa0000000949;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/restrained-xa0000000756;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/improvisatory-xa0000001023","Catharsis;Dancing;Loneliness;Reflection;Spring;Affirmation;Biographical;Comfort;Destiny;Empowerment;Healing/Comfort;Hope;Introspection;Religion;Yearning;Affection/Fondness;Girls Night Out;Late Night;Loss/Grief;Mischief;Passion;Relationships;Romance;Fantasy;Imagination;Long Walk;Longing;Motivation;Nature;Drinking;Drugs;Heartache;Heartbreak;Starry Sky;Maverick;Myths & Legends","https://www.allmusic.com/theme/catharsis-ma0000013572;https://www.allmusic.com/theme/dancing-ma0000013569;https://www.allmusic.com/theme/loneliness-ma0000004264;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/spring-ma0000004280;https://www.allmusic.com/theme/affirmation-ma0000006324;https://www.allmusic.com/theme/biographical-ma0000005036;https://www.allmusic.com/theme/comfort-ma0000006325;https://www.allmusic.com/theme/destiny-ma0000005053;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/healing-comfort-ma0000006273;https://www.allmusic.com/theme/hope-ma0000005069;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/religion-ma0000005098;https://www.allmusic.com/theme/yearning-ma0000005047;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/girls-night-out-ma0000006292;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/loss-grief-ma0000005065;https://www.allmusic.com/theme/mischief-ma0000006322;https://www.allmusic.com/theme/passion-ma0000005086;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/romance-ma0000005100;https://www.allmusic.com/theme/fantasy-ma0000005059;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/long-walk-ma0000006317;https://www.allmusic.com/theme/longing-ma0000013573;https://www.allmusic.com/theme/motivation-ma0000005082;https://www.allmusic.com/theme/nature-ma0000004268;https://www.allmusic.com/theme/drinking-ma0000004252;https://www.allmusic.com/theme/drugs-ma0000004254;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/heartbreak-ma0000004246;https://www.allmusic.com/theme/starry-sky-ma0000005111;https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/myths-legends-ma0000005058","https://www.allmusic.com/album/dance-fever-mw0003683935"
"Shufflemania","38:09","October 28, 2022","8",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Neo-Psychedelia","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/neo-psychedelia-ma0000012252","Eccentric;Reflective;Autumnal;Acerbic;Cerebral;Complex;Cynical/Sarcastic;Detached;Humorous;Ironic;Irreverent;Literate;Playful;Quirky;Silly;Snide;Whimsical;Wistful;Witty;Wry;Melancholy","https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/acerbic-xa0000000931;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/cynical-sarcastic-xa0000000969;https://www.allmusic.com/mood/detached-xa0000000707;https://www.allmusic.com/mood/humorous-xa0000000717;https://www.allmusic.com/mood/ironic-xa0000000723;https://www.allmusic.com/mood/irreverent-xa0000001028;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/quirky-xa0000000743;https://www.allmusic.com/mood/silly-xa0000001093;https://www.allmusic.com/mood/snide-xa0000000767;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/witty-xa0000001143;https://www.allmusic.com/mood/wry-xa0000001144;https://www.allmusic.com/mood/melancholy-xa0000000734","Imagination;Playful;Maverick;Mischief","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/playful-ma0000006315;https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/mischief-ma0000006322","https://www.allmusic.com/album/shufflemania-mw0003833672"
"Crown","01:04:38","January 28, 2022","8",NA,"Earthtone Studios, Greensbaro, NC;Ocean Way, Nashville, TN;Sound Emporium Studios, Nashville, TN","Blues","https://www.allmusic.com/genre/blues-ma0000002467","Contemporary Blues;Guitar Virtuoso;Blues-Rock;Modern Electric Blues;Funk","https://www.allmusic.com/style/contemporary-blues-ma0000002960;https://www.allmusic.com/style/guitar-virtuoso-ma0000002630;https://www.allmusic.com/style/blues-rock-ma0000002468;https://www.allmusic.com/style/modern-electric-blues-ma0000011944;https://www.allmusic.com/style/funk-ma0000002606","Aggressive;Bittersweet;Cathartic;Confessional;Confident;Declamatory;Dramatic;Earnest;Earthy;Euphoric;Exciting;Explosive;Fierce;Gutsy;Kinetic;Poignant;Positive;Powerful;Rousing;Uncompromising;Visceral","https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/confessional-xa0000001440;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/declamatory-xa0000000971;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/euphoric-xa0000000711;https://www.allmusic.com/mood/exciting-xa0000000994;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/fierce-xa0000001001;https://www.allmusic.com/mood/gutsy-xa0000001015;https://www.allmusic.com/mood/kinetic-xa0000001030;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/positive-xa0000000746;https://www.allmusic.com/mood/powerful-xa0000000747;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/visceral-xa0000001135","Affirmation;Awareness;Catharsis;Empowerment;Healing/Comfort;Hope","https://www.allmusic.com/theme/affirmation-ma0000006324;https://www.allmusic.com/theme/awareness-ma0000005045;https://www.allmusic.com/theme/catharsis-ma0000013572;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/healing-comfort-ma0000006273;https://www.allmusic.com/theme/hope-ma0000005069","https://www.allmusic.com/album/crown-mw0003609815"
"Empire Central","01:41:21","September 30, 2022","9",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","Jam Bands;Electric Jazz;Jazz-Funk;Contemporary Jazz;Modern Creative;Post-Bop","https://www.allmusic.com/style/jam-bands-ma0000004456;https://www.allmusic.com/style/electric-jazz-ma0000012242;https://www.allmusic.com/style/jazz-funk-ma0000011905;https://www.allmusic.com/style/contemporary-jazz-ma0000004545;https://www.allmusic.com/style/modern-creative-ma0000011987;https://www.allmusic.com/style/post-bop-ma0000005010","Complex;Ebullient;Sophisticated;Uncompromising;Celebratory;Earthy;Flowing;Exuberant;Freewheeling;Searching;Passionate;Sprawling;Cerebral;Eccentric;Rollicking","https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/ebullient-xa0000000982;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/sprawling-xa0000001108;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/rollicking-xa0000001080","Celebration;Good Times;Joy;Imagination;World View;Freedom;Relaxation;Partying","https://www.allmusic.com/theme/celebration-ma0000005042;https://www.allmusic.com/theme/good-times-ma0000006282;https://www.allmusic.com/theme/joy-ma0000004263;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/freedom-ma0000005063;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/partying-ma0000004272","https://www.allmusic.com/album/empire-central-mw0003763547"
"Broken Gargoyles","41:02","August 26, 2022","8",NA,"","Avant-Garde","https://www.allmusic.com/genre/avant-garde-ma0000012170","Avant-Garde Music;Experimental;Experimental Electronic","https://www.allmusic.com/style/avant-garde-music-ma0000004930;https://www.allmusic.com/style/experimental-ma0000002582;https://www.allmusic.com/style/experimental-electronic-ma0000012210","Cathartic;Grim;Scary;Confrontational;Dark;Difficult;Harsh;Intense;Spooky;Theatrical;Dramatic;Threatening;Angst-Ridden;Provocative;Visceral;Suffocating;Menacing;Ominous","https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/grim-xa0000001013;https://www.allmusic.com/mood/scary-xa0000000762;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/dark-xa0000000970;https://www.allmusic.com/mood/difficult-xa0000000976;https://www.allmusic.com/mood/harsh-xa0000001017;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/spooky-xa0000001107;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/threatening-xa0000000777;https://www.allmusic.com/mood/angst-ridden-xa0000000935;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/suffocating-xa0000001114;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/ominous-xa0000001055","Maverick;Pain;Catharsis;Imagination;Scary Music;Death;Poetry","https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/pain-ma0000005085;https://www.allmusic.com/theme/catharsis-ma0000013572;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/scary-music-ma0000005070;https://www.allmusic.com/theme/death-ma0000004250;https://www.allmusic.com/theme/poetry-ma0000005092","https://www.allmusic.com/album/broken-gargoyles-mw0003764672"
"Coping Mechanism","29:13","October 7, 2022","9",NA,"Catsnipstudios;Woodshed Recording","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Pop-Metal;Pop Punk","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/pop-metal-ma0000002785;https://www.allmusic.com/style/pop-punk-ma0000004449","Aggressive;Angry;Cathartic;Confrontational;Defiant;Feral;Fierce;Rebellious;Visceral;Angst-Ridden;Belligerent;Brash;Explosive;Outraged;Urgent;Anguished/Distraught;Bombastic;Dark;Dramatic;Fiery;Hostile;Menacing;Provocative;Rowdy;Threatening;Apocalyptic;Bitter;Intense;Uncompromising;Unsettling;Heavy;Savage;Scary;Tough","https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/angry-xa0000000695;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/defiant-xa0000000706;https://www.allmusic.com/mood/feral-xa0000000999;https://www.allmusic.com/mood/fierce-xa0000001001;https://www.allmusic.com/mood/rebellious-xa0000001075;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/angst-ridden-xa0000000935;https://www.allmusic.com/mood/belligerent-xa0000000698;https://www.allmusic.com/mood/brash-xa0000000949;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/outraged-xa0000001059;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/anguished-distraught-xa0000000696;https://www.allmusic.com/mood/bombastic-xa0000000948;https://www.allmusic.com/mood/dark-xa0000000970;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/hostile-xa0000001020;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/rowdy-xa0000001081;https://www.allmusic.com/mood/threatening-xa0000000777;https://www.allmusic.com/mood/apocalyptic-xa0000000938;https://www.allmusic.com/mood/bitter-xa0000000945;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/unsettling-xa0000001131;https://www.allmusic.com/mood/heavy-xa0000001445;https://www.allmusic.com/mood/savage-xa0000001086;https://www.allmusic.com/mood/scary-xa0000000762;https://www.allmusic.com/mood/tough-xa0000001122","Anger/Hostility;Reflection;Conflict;Pain;Cool & Cocky;Maverick;Relationships;Struggle;Biographical;Catharsis;Destiny;Loss/Grief;Argument;Despair;Fear;Feeling Blue;World View;Doubt;Escape;Breakup","https://www.allmusic.com/theme/anger-hostility-ma0000005031;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/conflict-ma0000006269;https://www.allmusic.com/theme/pain-ma0000005085;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/struggle-ma0000013591;https://www.allmusic.com/theme/biographical-ma0000005036;https://www.allmusic.com/theme/catharsis-ma0000013572;https://www.allmusic.com/theme/destiny-ma0000005053;https://www.allmusic.com/theme/loss-grief-ma0000005065;https://www.allmusic.com/theme/argument-ma0000005032;https://www.allmusic.com/theme/despair-ma0000005052;https://www.allmusic.com/theme/fear-ma0000005060;https://www.allmusic.com/theme/feeling-blue-ma0000004251;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/doubt-ma0000013571;https://www.allmusic.com/theme/escape-ma0000013574;https://www.allmusic.com/theme/breakup-ma0000004248","https://www.allmusic.com/album/coping-mechanism-mw0003777893"
"Direction of the Heart","48:01","October 21, 2022","8",NA,"A & R Studio, London;Chameleon Studios, Hamburg;Gorbals Sound, Glasgow;The Qube Studios, London","Pop/Rock;Electronic","https://www.allmusic.com/genre/pop-rock-ma0000002613;https://www.allmusic.com/genre/electronic-ma0000002572","Dance-Rock;Alternative/Indie Rock;Dance-Pop;Neo-Electro","https://www.allmusic.com/style/dance-rock-ma0000012069;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/dance-pop-ma0000004548;https://www.allmusic.com/style/neo-electro-ma0000011910","Complex;Dramatic;Searching;Slick;Amiable/Good-Natured;Exuberant;Literate;Passionate;Rollicking;Sophisticated;Stylish;Tense/Anxious;Urgent;Energetic;Bombastic;Bravado;Bright;Confident;Cosmopolitan;Declamatory;Driving;Enigmatic;Euphoric;Extroverted;Flashy;Indulgent;Melodic;Nostalgic;Ornate;Playful;Poignant;Self-Conscious;Triumphant;Uplifting;Warm;Yearning","https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/slick-xa0000001095;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/rollicking-xa0000001080;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/bombastic-xa0000000948;https://www.allmusic.com/mood/bravado-xa0000000951;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/cosmopolitan-xa0000000967;https://www.allmusic.com/mood/declamatory-xa0000000971;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/euphoric-xa0000000711;https://www.allmusic.com/mood/extroverted-xa0000000996;https://www.allmusic.com/mood/flashy-xa0000001003;https://www.allmusic.com/mood/indulgent-xa0000001024;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/nostalgic-xa0000000742;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/self-conscious-xa0000001089;https://www.allmusic.com/mood/triumphant-xa0000001126;https://www.allmusic.com/mood/uplifting-xa0000001132;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/yearning-xa0000000733","Awareness;Hope;Struggle;Homecoming","https://www.allmusic.com/theme/awareness-ma0000005045;https://www.allmusic.com/theme/hope-ma0000005069;https://www.allmusic.com/theme/struggle-ma0000013591;https://www.allmusic.com/theme/homecoming-ma0000006305","https://www.allmusic.com/album/direction-of-the-heart-mw0003733612"
