"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","I.","07:07","https://www.allmusic.com/performance/i-mq0002547977","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"2","II. Andante","03:45","https://www.allmusic.com/performance/ii-andante-mq0002547977","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"3","III. Allegro assai","05:15","https://www.allmusic.com/performance/iii-allegro-assai-mq0002547977","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"4","I. Allegro","04:23","https://www.allmusic.com/performance/i-allegro-mq0002547978","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"5","II. Larghetto","04:50","https://www.allmusic.com/performance/ii-larghetto-mq0002547978","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"6","III. Allegro ma non tanto","04:34","https://www.allmusic.com/performance/iii-allegro-ma-non-tanto-mq0002547978","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"7","I.","03:49","https://www.allmusic.com/performance/i-mq0002547979","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"8","II. Andante","06:15","https://www.allmusic.com/performance/ii-andante-mq0002547979","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"9","III. Allegro assai","03:52","https://www.allmusic.com/performance/iii-allegro-assai-mq0002547979","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
"10","I.","07:22","https://www.allmusic.com/performance/i-mq0002547980","https://www.allmusic.com/artist/johann-sebastian-bach-mn0000075140","Johann Sebastian Bach","https://www.allmusic.com/artist/bach-collegium-japan-mn0002174191;https://www.allmusic.com/artist/masato-suzuki-mn0003235920","Bach Collegium Japan;Masato Suzuki","https://www.allmusic.com/album/js-bach-concertos-for-harpsichord-strings-vol-2-mw0003723096"
