"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"A Town with an Ocean View (From Kiki's Delivery Service)",NA,"May 19, 2023","",NA,"","Classical;Stage & Screen","https://www.allmusic.com/genre/classical-ma0000002521;https://www.allmusic.com/genre/stage-screen-ma0000004432","Soundtracks","https://www.allmusic.com/style/soundtracks-ma0000002867","","","","","https://www.allmusic.com/album/a-town-with-an-ocean-view-from-kikis-delivery-service-mw0004003121"
"Top 40: Aretha Franklin",NA,"May 5, 2023","",NA,"","R&B","https://www.allmusic.com/genre/r-b-ma0000002809","","","","","","","https://www.allmusic.com/album/top-40-aretha-franklin-mw0004003413"
"Now Playing",NA,"August 25, 2023","",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","","","","","","","https://www.allmusic.com/album/now-playing-mw0004003608"
"Now Playing",NA,"August 25, 2023","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/now-playing-mw0004003621"
"Top 40: Dolly Parton",NA,"May 5, 2023","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/top-40-dolly-parton-mw0004003647"
"Now Playing",NA,"August 25, 2023","",NA,"","R&B","https://www.allmusic.com/genre/r-b-ma0000002809","Philly Soul;Quiet Storm;Smooth Soul;Soul;Pop-Soul;AM Pop;Disco","https://www.allmusic.com/style/philly-soul-ma0000002776;https://www.allmusic.com/style/quiet-storm-ma0000004425;https://www.allmusic.com/style/smooth-soul-ma0000011955;https://www.allmusic.com/style/soul-ma0000002865;https://www.allmusic.com/style/pop-soul-ma0000011870;https://www.allmusic.com/style/am-pop-ma0000012000;https://www.allmusic.com/style/disco-ma0000002552","Elegant;Romantic;Sensual;Stylish;Amiable/Good-Natured;Delicate;Exuberant;Gentle;Intimate;Refined;Rousing;Smooth;Soothing;Yearning;Earnest;Laid-Back/Mellow;Lush;Passionate;Sentimental;Sexy;Sophisticated;Sweet;Warm;Dramatic;Nocturnal;Wistful;Carefree;Poignant","https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/sensual-xa0000000764;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/soothing-xa0000001099;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/sexy-xa0000000770;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/sweet-xa0000000773;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/poignant-xa0000001068","In Love;Romance;Slow Dance;Comfort;Romantic Evening;Dancing;Seduction","https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/romance-ma0000005100;https://www.allmusic.com/theme/slow-dance-ma0000006319;https://www.allmusic.com/theme/comfort-ma0000006325;https://www.allmusic.com/theme/romantic-evening-ma0000006312;https://www.allmusic.com/theme/dancing-ma0000013569;https://www.allmusic.com/theme/seduction-ma0000004276","https://www.allmusic.com/album/now-playing-mw0004003741"
"Mercy of the Crane Folk",NA,"May 5, 2023","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Indie Folk;Indie Pop","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/indie-folk-ma0000012149;https://www.allmusic.com/style/indie-pop-ma0000004494","Mysterious;Atmospheric;Eccentric;Flowing;Intimate;Magical;Organic;Quirky;Theatrical;Airy;Dreamy;Enigmatic;Languid;Melodic;Restrained;Summery;Warm;Witty;Ambitious;Amiable/Good-Natured;Confident;Exploratory;Freewheeling;Pastoral;Shimmering;Wistful;Yearning;Campy;Humorous;Sparkling","https://www.allmusic.com/mood/mysterious-xa0000000738;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/magical-xa0000001040;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/quirky-xa0000000743;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/airy-xa0000000932;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/languid-xa0000001033;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/restrained-xa0000000756;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/witty-xa0000001143;https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/exploratory-xa0000001441;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/pastoral-xa0000000745;https://www.allmusic.com/mood/shimmering-xa0000001092;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/campy-xa0000000955;https://www.allmusic.com/mood/humorous-xa0000000717;https://www.allmusic.com/mood/sparkling-xa0000001102","Imagination;Playful;Celebration;Dreaming;Fantasy","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/playful-ma0000006315;https://www.allmusic.com/theme/celebration-ma0000005042;https://www.allmusic.com/theme/dreaming-ma0000005055;https://www.allmusic.com/theme/fantasy-ma0000005059","https://www.allmusic.com/album/mercy-of-the-crane-folk-mw0003954679"
"The Legendary New Testament Band 1952-55",NA,"May 12, 2023","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/the-legendary-new-testament-band-1952-55-mw0003954690"
"Turning Japanese: The Nakano Sun Plaza Radio Broadcast",NA,"May 12, 2023","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/turning-japanese-the-nakano-sun-plaza-radio-broadcast-mw0003953733"
"Mirror to the Sky","01:03:34","May 19, 2023","",NA,"Esher and Yes HQ, UK;Laguna Beach, California;Langley Studios, UK;Los Angeles, California, US;Uncle Studios, Van Nuys, California","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Album Rock;Art Rock;British Psychedelia;Prog-Rock;Psychedelic/Garage;Contemporary Pop/Rock","https://www.allmusic.com/style/album-rock-ma0000004459;https://www.allmusic.com/style/art-rock-ma0000002431;https://www.allmusic.com/style/british-psychedelia-ma0000012038;https://www.allmusic.com/style/prog-rock-ma0000002798;https://www.allmusic.com/style/psychedelic-garage-ma0000002800;https://www.allmusic.com/style/contemporary-pop-rock-ma0000004443","Cerebral;Elaborate;Epic;Sophisticated;Sprawling;Ambitious;Complex;Indulgent;Searching;Theatrical;Whimsical;Difficult;Dramatic;Earnest;Freewheeling;Intense;Literate;Poignant;Refined;Reflective;Restrained;Rousing;Self-Conscious;Trippy;Acerbic;Autumnal;Precious;Quirky;Urgent;Aggressive;Amiable/Good-Natured;Druggy;Exuberant;Gutsy;Hypnotic;Laid-Back/Mellow;Messy;Sparse;Stylish","https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/elaborate-xa0000000987;https://www.allmusic.com/mood/epic-xa0000000992;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/sprawling-xa0000001108;https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/indulgent-xa0000001024;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/difficult-xa0000000976;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/restrained-xa0000000756;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/self-conscious-xa0000001089;https://www.allmusic.com/mood/trippy-xa0000000749;https://www.allmusic.com/mood/acerbic-xa0000000931;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/precious-xa0000001069;https://www.allmusic.com/mood/quirky-xa0000000743;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/druggy-xa0000000979;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/gutsy-xa0000001015;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/messy-xa0000001046;https://www.allmusic.com/mood/sparse-xa0000001103;https://www.allmusic.com/mood/stylish-xa0000001113","Imagination;Introspection;Other Times & Places;Myths & Legends;Dreaming;Rainy Day;Reflection;Starry Sky","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/other-times-places-ma0000006277;https://www.allmusic.com/theme/myths-legends-ma0000005058;https://www.allmusic.com/theme/dreaming-ma0000005055;https://www.allmusic.com/theme/rainy-day-ma0000005096;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/starry-sky-ma0000005111","https://www.allmusic.com/album/mirror-to-the-sky-mw0003953736"
