"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Kitty Wells’ Country Hit Parade","32:23","July 8, 2022","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/kitty-wells-country-hit-parade-mw0003775968"
"Dawn FM","03:04","July 8, 2022","",NA,"","R&B","https://www.allmusic.com/genre/r-b-ma0000002809","Alternative R&B;Contemporary R&B;Pop","https://www.allmusic.com/style/alternative-r-b-ma0000013375;https://www.allmusic.com/style/contemporary-r-b-ma0000002969;https://www.allmusic.com/style/pop-ma0000012254","Detached;Druggy;Hedonistic;Intense;Sexual;Tense/Anxious;Unsettling;Yearning;Dreamy;Hypnotic;Intimate;Languid;Seductive;Austere;Eerie;Gloomy;Anguished/Distraught;Melodic;Mysterious;Searching;Indulgent","https://www.allmusic.com/mood/detached-xa0000000707;https://www.allmusic.com/mood/druggy-xa0000000979;https://www.allmusic.com/mood/hedonistic-xa0000001018;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/sexual-xa0000001091;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/unsettling-xa0000001131;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/languid-xa0000001033;https://www.allmusic.com/mood/seductive-xa0000001443;https://www.allmusic.com/mood/austere-xa0000000942;https://www.allmusic.com/mood/eerie-xa0000000985;https://www.allmusic.com/mood/gloomy-xa0000000714;https://www.allmusic.com/mood/anguished-distraught-xa0000000696;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/mysterious-xa0000000738;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/indulgent-xa0000001024","Despair;Drugs;Heartache;Late Night;Nighttime;Relationships;Seduction;Sex;Temptation;Yearning;Cool & Cocky;Longing;Heartbreak;Introspection;Pain;Romantic Evening;Visions;Affection/Fondness;In Love;Loneliness;Loss/Grief;Rainy Day","https://www.allmusic.com/theme/despair-ma0000005052;https://www.allmusic.com/theme/drugs-ma0000004254;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/nighttime-ma0000006276;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/seduction-ma0000004276;https://www.allmusic.com/theme/sex-ma0000005107;https://www.allmusic.com/theme/temptation-ma0000005114;https://www.allmusic.com/theme/yearning-ma0000005047;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/longing-ma0000013573;https://www.allmusic.com/theme/heartbreak-ma0000004246;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/pain-ma0000005085;https://www.allmusic.com/theme/romantic-evening-ma0000006312;https://www.allmusic.com/theme/visions-ma0000006280;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/loneliness-ma0000004264;https://www.allmusic.com/theme/loss-grief-ma0000005065;https://www.allmusic.com/theme/rainy-day-ma0000005096","https://www.allmusic.com/album/dawn-fm-mw0003776562"
"Essential Classics, Vol. 48: Billy Eckstone",NA,"August 5, 2022","",NA,"","Vocal","https://www.allmusic.com/genre/vocal-ma0000011877","","","","","","","https://www.allmusic.com/album/essential-classics-vol-48-billy-eckstone-mw0003779614"
"Essential Classics, Vol. 39: Amália Rodrigues",NA,"July 29, 2022","",NA,"","International","https://www.allmusic.com/genre/international-ma0000002660","Fado;Western European Traditions","https://www.allmusic.com/style/fado-ma0000002603;https://www.allmusic.com/style/western-european-traditions-ma0000004467","","","","","https://www.allmusic.com/album/essential-classics-vol-39-am%C3%A1lia-rodrigues-mw0003782119"
"Planet of the Apes: Origial Film Series Soundtrack Collection",NA,"August 19, 2022","",NA,"","Stage & Screen;Classical","https://www.allmusic.com/genre/stage-screen-ma0000004432;https://www.allmusic.com/genre/classical-ma0000002521","Film Score;Original Score;Soundtracks","https://www.allmusic.com/style/film-score-ma0000012306;https://www.allmusic.com/style/original-score-ma0000012320;https://www.allmusic.com/style/soundtracks-ma0000002867","","","","","https://www.allmusic.com/album/planet-of-the-apes-origial-film-series-soundtrack-collection-mw0003795337"
"Look @ Me","00:03","July 29, 2022","",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","","","","","","","https://www.allmusic.com/album/look-me-mw0003795354"
"Live in Paris",NA,"November 11, 2022","",NA,"","Vocal","https://www.allmusic.com/genre/vocal-ma0000011877","","","","","","","https://www.allmusic.com/album/live-in-paris-mw0003798054"
"Zappa '75: Zagreb/Ljubljana","02:25:39","October 14, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/zappa-75-zagreb-ljubljana-mw0003798239"
"The Best of the Yardbirds [Charly]",NA,"October 14, 2022","",NA,"","Blues;Pop/Rock","https://www.allmusic.com/genre/blues-ma0000002467;https://www.allmusic.com/genre/pop-rock-ma0000002613","Rock & Roll;Blues-Rock;British Blues;British Invasion;British Psychedelia;Psychedelic/Garage;Regional Blues","https://www.allmusic.com/style/rock-roll-ma0000002829;https://www.allmusic.com/style/blues-rock-ma0000002468;https://www.allmusic.com/style/british-blues-ma0000002482;https://www.allmusic.com/style/british-invasion-ma0000002484;https://www.allmusic.com/style/british-psychedelia-ma0000012038;https://www.allmusic.com/style/psychedelic-garage-ma0000002800;https://www.allmusic.com/style/regional-blues-ma0000002821","Confident;Freewheeling;Passionate;Swaggering;Bravado;Earnest;Energetic;Sexual;Street-Smart;Brittle;Confrontational;Gritty;Rambunctious;Rousing;Self-Conscious;Stylish;Visceral;Druggy;Knotty;Organic;Playful;Raucous;Reverent;Rowdy;Trippy;Volatile;Amiable/Good-Natured;Eerie;Messy;Reckless;Rollicking;Whimsical","https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/swaggering-xa0000001118;https://www.allmusic.com/mood/bravado-xa0000000951;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/sexual-xa0000001091;https://www.allmusic.com/mood/street-smart-xa0000001112;https://www.allmusic.com/mood/brittle-xa0000000953;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/gritty-xa0000001014;https://www.allmusic.com/mood/rambunctious-xa0000001071;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/self-conscious-xa0000001089;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/druggy-xa0000000979;https://www.allmusic.com/mood/knotty-xa0000001031;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/raucous-xa0000001073;https://www.allmusic.com/mood/reverent-xa0000000757;https://www.allmusic.com/mood/rowdy-xa0000001081;https://www.allmusic.com/mood/trippy-xa0000000749;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/eerie-xa0000000985;https://www.allmusic.com/mood/messy-xa0000001046;https://www.allmusic.com/mood/reckless-xa0000000752;https://www.allmusic.com/mood/rollicking-xa0000001080;https://www.allmusic.com/mood/whimsical-xa0000001140","Imagination;Freedom;Other Times & Places;Late Night;Open Road;Road Trip;Empowerment;Rainy Day","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/freedom-ma0000005063;https://www.allmusic.com/theme/other-times-places-ma0000006277;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/road-trip-ma0000006287;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/rainy-day-ma0000005096","https://www.allmusic.com/album/the-best-of-the-yardbirds-charly--mw0003799381"
"Essential Classics, Vol. 28: Kay Starr","51:49","July 29, 2022","",NA,"","Vocal","https://www.allmusic.com/genre/vocal-ma0000011877","","","","","","","https://www.allmusic.com/album/essential-classics-vol-28-kay-starr-mw0003799410"
