"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Stereo Singles Collection",NA,"April 7, 2023","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/stereo-singles-collection-mw0003947518"
"Dream from the Deep Well",NA,"June 30, 2023","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Indie Folk;Alternative/Indie Rock","https://www.allmusic.com/style/indie-folk-ma0000012149;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","Earnest;Earthy;Tender;Ethereal;Gentle;Hypnotic;Intimate;Melancholy;Pastoral;Poignant;Searching;Thoughtful;Atmospheric;Delicate;Somber;Literate;Melodic;Mysterious;Plaintive;Tense/Anxious","https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/tender-xa0000001119;https://www.allmusic.com/mood/ethereal-xa0000000993;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/pastoral-xa0000000745;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/thoughtful-xa0000001121;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/somber-xa0000001098;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/mysterious-xa0000000738;https://www.allmusic.com/mood/plaintive-xa0000001066;https://www.allmusic.com/mood/tense-anxious-xa0000000697","Awareness;Compassion;Small Gathering;Politics/Society;Relationships;Everyday Life;Feminism;Family;Music","https://www.allmusic.com/theme/awareness-ma0000005045;https://www.allmusic.com/theme/compassion-ma0000013567;https://www.allmusic.com/theme/small-gathering-ma0000006333;https://www.allmusic.com/theme/politics-society-ma0000005093;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/everyday-life-ma0000005057;https://www.allmusic.com/theme/feminism-ma0000013562;https://www.allmusic.com/theme/family-ma0000004255;https://www.allmusic.com/theme/music-ma0000004267","https://www.allmusic.com/album/dream-from-the-deep-well-mw0003947602"
"Dancing Like Dust",NA,"May 12, 2023","",NA,"","Avant-Garde","https://www.allmusic.com/genre/avant-garde-ma0000012170","","","","","","","https://www.allmusic.com/album/dancing-like-dust-mw0003947699"
"Of Tomorrow","38:21","May 19, 2023","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Dream Pop;Noise-Rock;Shoegaze;Noise Pop;Alternative/Indie Rock","https://www.allmusic.com/style/dream-pop-ma0000012303;https://www.allmusic.com/style/noise-rock-ma0000004455;https://www.allmusic.com/style/shoegaze-ma0000004454;https://www.allmusic.com/style/noise-pop-ma0000012156;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","Ambitious;Nocturnal;Ominous;Pulsing;Searching;Strong;Uncompromising;Aggressive;Atmospheric;Dreamy;Ethereal;Explosive;Fiery;Flowing;Insular;Menacing;Passionate;Provocative;Raucous;Serious;Shimmering;Suspenseful;Swaggering;Unsettling;Brittle;Cathartic;Confrontational;Ecstatic;Freewheeling;Gritty;Hypnotic;Lush;Visceral;Volatile;Rousing;Savage;Suffocating","https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/ominous-xa0000001055;https://www.allmusic.com/mood/pulsing-xa0000000750;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/strong-xa0000000772;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/ethereal-xa0000000993;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/insular-xa0000001026;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/raucous-xa0000001073;https://www.allmusic.com/mood/serious-xa0000000766;https://www.allmusic.com/mood/shimmering-xa0000001092;https://www.allmusic.com/mood/suspenseful-xa0000001117;https://www.allmusic.com/mood/swaggering-xa0000001118;https://www.allmusic.com/mood/unsettling-xa0000001131;https://www.allmusic.com/mood/brittle-xa0000000953;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/ecstatic-xa0000000984;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/gritty-xa0000001014;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/savage-xa0000001086;https://www.allmusic.com/mood/suffocating-xa0000001114","Drugs;Cool & Cocky;Late Night;Stay in Bed;Meditation","https://www.allmusic.com/theme/drugs-ma0000004254;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/stay-in-bed-ma0000006326;https://www.allmusic.com/theme/meditation-ma0000006331","https://www.allmusic.com/album/of-tomorrow-mw0003947861"
"House of Tricky: Doorbell Ringing","19:30","March 31, 2023","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Pop;Pop-Rap;Asian Pop;K-Pop","https://www.allmusic.com/style/pop-ma0000012254;https://www.allmusic.com/style/pop-rap-ma0000005012;https://www.allmusic.com/style/asian-pop-ma0000012169;https://www.allmusic.com/style/k-pop-ma0000011907","Exuberant;Intense;Passionate;Amiable/Good-Natured;Confident;Dramatic;Energetic;Fiery;Intimate;Lively;Lyrical;Positive;Stylish;Triumphant;Yearning;Bombastic;Cathartic;Celebratory;Defiant;Earnest;Euphoric;Explosive;Playful;Powerful;Romantic;Uncompromising;Exciting;Sweet","https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/positive-xa0000000746;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/triumphant-xa0000001126;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/bombastic-xa0000000948;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/defiant-xa0000000706;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/euphoric-xa0000000711;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/powerful-xa0000000747;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/exciting-xa0000000994;https://www.allmusic.com/mood/sweet-xa0000000773","Cool & Cocky;In Love;Affection/Fondness;Dance Party;Empowerment;Hanging Out;Playful;Relationships;Youth;Celebration;Partying;Reflection;Teenagers;Zeitgeist;Affirmation;Club;Good Times;Relaxation;Rainy Day","https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/dance-party-ma0000005051;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/playful-ma0000006315;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/youth-ma0000004287;https://www.allmusic.com/theme/celebration-ma0000005042;https://www.allmusic.com/theme/partying-ma0000004272;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/teenagers-ma0000005113;https://www.allmusic.com/theme/zeitgeist-ma0000005124;https://www.allmusic.com/theme/affirmation-ma0000006324;https://www.allmusic.com/theme/club-ma0000005633;https://www.allmusic.com/theme/good-times-ma0000006282;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/rainy-day-ma0000005096","https://www.allmusic.com/album/house-of-tricky-doorbell-ringing-mw0003948482"
"I Thought I Was Better Than You","27:31","June 2, 2023","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative Singer/Songwriter;Alternative/Indie Rock;Indie Rock","https://www.allmusic.com/style/alternative-singer-songwriter-ma0000012100;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/indie-rock-ma0000004453","Street-Smart;Atmospheric;Enigmatic;Intimate;Philosophical;Reflective;Sentimental;Understated;Bittersweet;Graceful;Narrative;Wistful;Autumnal;Dramatic;Melancholy;Nostalgic;Searching","https://www.allmusic.com/mood/street-smart-xa0000001112;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/philosophical-xa0000001064;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/understated-xa0000001130;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/graceful-xa0000001011;https://www.allmusic.com/mood/narrative-xa0000001052;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/nostalgic-xa0000000742;https://www.allmusic.com/mood/searching-xa0000001088","Mischief;Cool & Cocky;Imagination;Fame;Family","https://www.allmusic.com/theme/mischief-ma0000006322;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/fame-ma0000013549;https://www.allmusic.com/theme/family-ma0000004255","https://www.allmusic.com/album/i-thought-i-was-better-than-you-mw0003950540"
"Copenhagen Coda",NA,"April 7, 2023","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/copenhagen-coda-mw0003950558"
"Treasures: Solo, Trio and Orchestra Recordings From Denmark [1965-1969]","02:18:07","April 28, 2023","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/treasures-solo-trio-and-orchestra-recordings-from-denmark-1965-1969--mw0003950647"
"All the Hits and More 1927-1954",NA,"April 7, 2023","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/all-the-hits-and-more-1927-1954-mw0003951415"
"I'm a King Bee: Influences, Vol. 2","17:23","January 20, 2023","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/im-a-king-bee-influences-vol-2-mw0003951552"
