"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Do All Words Can Do",NA,"March 25, 2022","7","September 17, 2010 - September 21, 2020","","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Post-Hardcore;New Wave/Post-Punk Revival","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/post-hardcore-ma0000012125;https://www.allmusic.com/style/new-wave-post-punk-revival-ma0000012020","Uncompromising;Aggressive;Cerebral;Fiery;Raucous;Visceral;Brash;Confrontational;Eccentric;Literate;Outrageous;Rebellious;Volatile;Gutsy;Nihilistic;Provocative;Reckless","https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/raucous-xa0000001073;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/brash-xa0000000949;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/outrageous-xa0000001060;https://www.allmusic.com/mood/rebellious-xa0000001075;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/gutsy-xa0000001015;https://www.allmusic.com/mood/nihilistic-xa0000001053;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/reckless-xa0000000752","Revolution;Politics/Society;Maverick;Cool & Cocky","https://www.allmusic.com/theme/revolution-ma0000006323;https://www.allmusic.com/theme/politics-society-ma0000005093;https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/cool-cocky-ma0000006328","https://www.allmusic.com/album/do-all-words-can-do-mw0003627956"
"Alpha Games","39:33","April 29, 2022","7",NA,"Konk Studios, London","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Indie Rock;Alternative/Indie Rock","https://www.allmusic.com/style/indie-rock-ma0000004453;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","Literate;Urgent;Earnest;Fiery;Searching;Volatile;Bittersweet;Cathartic;Energetic;Intense;Reflective;Visceral;Brooding;Rousing;Tense/Anxious;Aggressive;Confrontational;Sweet;Wry;Cerebral;Poignant;Romantic;Soft/Quiet","https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/urgent-xa0000001133;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/sweet-xa0000000773;https://www.allmusic.com/mood/wry-xa0000001144;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/soft-quiet-xa0000001097","Hanging Out;Conflict;Cool & Cocky;Motivation;World View;Empowerment;Heartache;In Love;Revolution;Politics/Society;Introspection;Freedom;Club","https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/conflict-ma0000006269;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/motivation-ma0000005082;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/revolution-ma0000006323;https://www.allmusic.com/theme/politics-society-ma0000005093;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/freedom-ma0000005063;https://www.allmusic.com/theme/club-ma0000005633","https://www.allmusic.com/album/alpha-games-mw0003628111"
"Michel-Richard de Lalande: Grand Motets - Dies Irae, Miserere, Veni Creator","01:20:19","February 4, 2022","9","February, 2021","Arsenal de Metz, France","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Choral","https://www.allmusic.com/style/choral-ma0000004509","Animated;Dignified/Noble;Elegant;Melancholy;Opulent;Ornate;Reverent;Somber","https://www.allmusic.com/mood/animated-xa0000000937;https://www.allmusic.com/mood/dignified-noble-xa0000000977;https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/opulent-xa0000001056;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/reverent-xa0000000757;https://www.allmusic.com/mood/somber-xa0000001098","Religion","https://www.allmusic.com/theme/religion-ma0000005098","https://www.allmusic.com/album/michel-richard-de-lalande-grand-motets-dies-irae-miserere-veni-creator-mw0003628770"
"Mendelssohn: Songs without Words, Vol. 1 (Lieder ohne Worte)","01:19:39","January 7, 2022","9","May 4, 2021 - May 6, 2021","Potton Hall, Dunwich, Suffolk","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Keyboard","https://www.allmusic.com/style/keyboard-ma0000011828","Bravado;Brooding;Capricious;Fantastic/Fantasy-like;Feverish;Heroic;Lively;Melodic;Romantic;Tense/Anxious;Uplifting;Yearning","https://www.allmusic.com/mood/bravado-xa0000000951;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/capricious-xa0000000956;https://www.allmusic.com/mood/fantastic-fantasy-like-xa0000000998;https://www.allmusic.com/mood/feverish-xa0000001000;https://www.allmusic.com/mood/heroic-xa0000001019;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/uplifting-xa0000001132;https://www.allmusic.com/mood/yearning-xa0000000733","","","https://www.allmusic.com/album/mendelssohn-songs-without-words-vol-1-lieder-ohne-worte-mw0003632528"
"From Brighton to Brooklyn","01:11:18","January 7, 2022","9","March 9, 2021 - March 11, 2021","Potton Hall, Dunwich, Suffolk","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","Bittersweet;Cosmopolitan;Energetic;Lively;Melodic;Nostalgic;Playful;Rustic;Sentimental;Spontaneous;Thoughtful;Warm;Wistful;Yearning","https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/cosmopolitan-xa0000000967;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/nostalgic-xa0000000742;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/spontaneous-xa0000001106;https://www.allmusic.com/mood/thoughtful-xa0000001121;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/yearning-xa0000000733","","","https://www.allmusic.com/album/from-brighton-to-brooklyn-mw0003632530"
"Palaces","46:15","May 20, 2022","7",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","Club/Dance;EDM;Left-Field Pop;Downtempo;Indie Electronic;Experimental Club;Dubstep","https://www.allmusic.com/style/club-dance-ma0000002544;https://www.allmusic.com/style/edm-ma0000013412;https://www.allmusic.com/style/left-field-pop-ma0000013523;https://www.allmusic.com/style/downtempo-ma0000004999;https://www.allmusic.com/style/indie-electronic-ma0000012275;https://www.allmusic.com/style/experimental-club-ma0000013554;https://www.allmusic.com/style/dubstep-ma0000004465","Cerebral;Epic;Fractured;Intimate;Sensual;Stylish;Bright;Dreamy;Eccentric;Euphoric;Kinetic;Nocturnal;Pulsing;Romantic;Yearning;Calm/Peaceful;Relaxed;Searching;Sexy;Atmospheric;Hypnotic;Meditative","https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/epic-xa0000000992;https://www.allmusic.com/mood/fractured-xa0000001004;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/sensual-xa0000000764;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/euphoric-xa0000000711;https://www.allmusic.com/mood/kinetic-xa0000001030;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/pulsing-xa0000000750;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/relaxed-xa0000000755;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/sexy-xa0000000770;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/meditative-xa0000000732","Club;Imagination;In Love;Late Night;Heartache;New Love;Nighttime;Sex;Hanging Out","https://www.allmusic.com/theme/club-ma0000005633;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/new-love-ma0000005625;https://www.allmusic.com/theme/nighttime-ma0000006276;https://www.allmusic.com/theme/sex-ma0000005107;https://www.allmusic.com/theme/hanging-out-ma0000006297","https://www.allmusic.com/album/palaces-mw0003659753"
"Planet Zero",NA,"April 22, 2022","7",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Hard Rock;Post-Grunge;Heavy Metal;Nü Metal","https://www.allmusic.com/style/hard-rock-ma0000002636;https://www.allmusic.com/style/post-grunge-ma0000005020;https://www.allmusic.com/style/heavy-metal-ma0000002721;https://www.allmusic.com/style/n%C3%BC-metal-ma0000004547","Provocative;Virile;Visceral;Earnest;Tense/Anxious;Aggressive;Angst-Ridden;Anguished/Distraught;Confrontational;Dramatic;Harsh;Lively;Outraged;Raucous;Rebellious;Rowdy;Slick;Volatile;Brash;Brooding;Cathartic;Fiery;Gloomy;Intense;Manic;Searching;Urgent","https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/virile-xa0000001134;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/angst-ridden-xa0000000935;https://www.allmusic.com/mood/anguished-distraught-xa0000000696;https://www.allmusic.com/mood/confrontational-xa0000000966;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/harsh-xa0000001017;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/outraged-xa0000001059;https://www.allmusic.com/mood/raucous-xa0000001073;https://www.allmusic.com/mood/rebellious-xa0000001075;https://www.allmusic.com/mood/rowdy-xa0000001081;https://www.allmusic.com/mood/slick-xa0000001095;https://www.allmusic.com/mood/volatile-xa0000001136;https://www.allmusic.com/mood/brash-xa0000000949;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/gloomy-xa0000000714;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/manic-xa0000001042;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/urgent-xa0000001133","Exercise/Workout;Introspection;Anger/Hostility;Empowerment;Breakup;Everyday Life;Guys Night Out;Jealousy;Loss/Grief;Maverick;Affection/Fondness;Affirmation;Conflict;Heartache;Politics/Society;World View","https://www.allmusic.com/theme/exercise-workout-ma0000006295;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/anger-hostility-ma0000005031;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/breakup-ma0000004248;https://www.allmusic.com/theme/everyday-life-ma0000005057;https://www.allmusic.com/theme/guys-night-out-ma0000006291;https://www.allmusic.com/theme/jealousy-ma0000005073;https://www.allmusic.com/theme/loss-grief-ma0000005065;https://www.allmusic.com/theme/maverick-ma0000006335;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/affirmation-ma0000006324;https://www.allmusic.com/theme/conflict-ma0000006269;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/politics-society-ma0000005093;https://www.allmusic.com/theme/world-view-ma0000005123","https://www.allmusic.com/album/planet-zero-mw0003659327"
"Alone Together","01:36:54","February 4, 2022","9","","Oktaven Audio, Mount Vernon, NY","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","Atmospheric;Complex;Dissonant;Dramatic;Earthy;Fantastic/Fantasy-like;Improvisatory;Intimate;Melodic;Narrative;Organic;Sophisticated;Spontaneous;Warm","https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/dissonant-xa0000001438;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/fantastic-fantasy-like-xa0000000998;https://www.allmusic.com/mood/improvisatory-xa0000001023;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/narrative-xa0000001052;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/spontaneous-xa0000001106;https://www.allmusic.com/mood/warm-xa0000001138","","","https://www.allmusic.com/album/alone-together-mw0003664238"
"Diplo","52:46","March 4, 2022","7",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","House;Club/Dance;Dance-Pop","https://www.allmusic.com/style/house-ma0000002651;https://www.allmusic.com/style/club-dance-ma0000002544;https://www.allmusic.com/style/dance-pop-ma0000004548","Pulsing;Driving;Kinetic;Effervescent;Energetic;Sunny;Fun;Refined;Yearning;Bright;Uplifting;Atmospheric;Bittersweet","https://www.allmusic.com/mood/pulsing-xa0000000750;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/kinetic-xa0000001030;https://www.allmusic.com/mood/effervescent-xa0000000986;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/sunny-xa0000001446;https://www.allmusic.com/mood/fun-xa0000001006;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/uplifting-xa0000001132;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/bittersweet-xa0000000946","Club;Day Driving;Dance Party;At the Beach;Good Times;In Love","https://www.allmusic.com/theme/club-ma0000005633;https://www.allmusic.com/theme/day-driving-ma0000006330;https://www.allmusic.com/theme/dance-party-ma0000005051;https://www.allmusic.com/theme/at-the-beach-ma0000005034;https://www.allmusic.com/theme/good-times-ma0000006282;https://www.allmusic.com/theme/in-love-ma0000005076","https://www.allmusic.com/album/diplo-mw0003664683"
"Entre Eux Deux","43:23","May 20, 2022","7",NA,"Studio Guillaume Tell, Paris","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","Vocal Jazz;Vocal Pop","https://www.allmusic.com/style/vocal-jazz-ma0000002948;https://www.allmusic.com/style/vocal-pop-ma0000002787","Bittersweet;Lush;Plaintive;Delicate;Laid-Back/Mellow;Intimate;Melancholy;Passionate;Poignant;Refined;Romantic;Sentimental;Smooth;Warm;Weary;Freewheeling;Literate;Reflective;Yearning;Dramatic;Dreamy;Gentle;Lyrical;Sensual;Theatrical;Insular;Organic;Stylish","https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/plaintive-xa0000001066;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/weary-xa0000001139;https://www.allmusic.com/mood/freewheeling-xa0000001005;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/sensual-xa0000000764;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/insular-xa0000001026;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/stylish-xa0000001113","Dinner Ambiance;In Love;Reflection;Relaxation;Romantic Evening;Romance;Comfort;Heartache;Affection/Fondness;World View;Healing/Comfort;Heartbreak;Introspection;Passion","https://www.allmusic.com/theme/dinner-ambiance-ma0000006288;https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/romantic-evening-ma0000006312;https://www.allmusic.com/theme/romance-ma0000005100;https://www.allmusic.com/theme/comfort-ma0000006325;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/healing-comfort-ma0000006273;https://www.allmusic.com/theme/heartbreak-ma0000004246;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/passion-ma0000005086","https://www.allmusic.com/album/entre-eux-deux-mw0003697911"
