"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"The Best of the Bob Hope USO Christmas Specials","42:47","November 29, 2022","",NA,"","Comedy/Spoken;Holiday","https://www.allmusic.com/genre/comedy-spoken-ma0000004433;https://www.allmusic.com/genre/holiday-ma0000012075","Comedy;Christmas","https://www.allmusic.com/style/comedy-ma0000002525;https://www.allmusic.com/style/christmas-ma0000011929","","","","","https://www.allmusic.com/album/the-best-of-the-bob-hope-uso-christmas-specials-mw0003872773"
"Street Called Main","03:50","October 28, 2022","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/street-called-main-mw0003872892"
"Nervous","03:10","November 4, 2022","",NA,"","Latin;International;Pop/Rock;R&B","https://www.allmusic.com/genre/latin-ma0000002692;https://www.allmusic.com/genre/international-ma0000002660;https://www.allmusic.com/genre/pop-rock-ma0000002613;https://www.allmusic.com/genre/r-b-ma0000002809","Adult Contemporary R&B;Colombian;Contemporary R&B;Latin Pop;Teen Pop;Pop","https://www.allmusic.com/style/adult-contemporary-r-b-ma0000012131;https://www.allmusic.com/style/colombian-ma0000002524;https://www.allmusic.com/style/contemporary-r-b-ma0000002969;https://www.allmusic.com/style/latin-pop-ma0000004461;https://www.allmusic.com/style/teen-pop-ma0000002895;https://www.allmusic.com/style/pop-ma0000012254","Amiable/Good-Natured;Carefree;Sentimental;Confident;Cosmopolitan;Intimate;Soothing;Sophisticated;Bright;Delicate;Dramatic;Earnest;Exuberant;Gentle;Passionate;Poignant;Reflective;Sensual;Smooth;Stylish;Swaggering;Yearning;Bittersweet;Celebratory;Melodic;Romantic;Searching;Warm;Laid-Back/Mellow;Playful","https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/cosmopolitan-xa0000000967;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/soothing-xa0000001099;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sensual-xa0000000764;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/swaggering-xa0000001118;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/playful-xa0000001067","In Love;Romantic Evening;Heartache;Romance;Summer;World View;Relaxation;Hanging Out;Motivation;Zeitgeist","https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/romantic-evening-ma0000006312;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/romance-ma0000005100;https://www.allmusic.com/theme/summer-ma0000004281;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/motivation-ma0000005082;https://www.allmusic.com/theme/zeitgeist-ma0000005124","https://www.allmusic.com/album/nervous-mw0003874822"
"Never Gonna Not Dance Again","03:45","November 4, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/never-gonna-not-dance-again-mw0003876667"
"Rockers & Scorchers","01:25:40","December 1, 2022","",NA,"","Reggae","https://www.allmusic.com/genre/reggae-ma0000002820","","","","","","","https://www.allmusic.com/album/rockers-scorchers-mw0003877426"
"The Löst Tapes, Vol. 4: Live in Heilbronn 1984","01:04:36","December 24, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","British Metal;Heavy Metal","https://www.allmusic.com/style/british-metal-ma0000012103;https://www.allmusic.com/style/heavy-metal-ma0000002721","","","","","https://www.allmusic.com/album/the-l%C3%B6st-tapes-vol-4-live-in-heilbronn-1984-mw0003894626"
"Lost Dub From the Vault",NA,"December 23, 2022","",NA,"","Reggae","https://www.allmusic.com/genre/reggae-ma0000002820","","","","","","","https://www.allmusic.com/album/lost-dub-from-the-vault-mw0003894714"
"Look What You Dubbing, Vol. 2",NA,"December 23, 2022","",NA,"","Reggae","https://www.allmusic.com/genre/reggae-ma0000002820","","","","","","","https://www.allmusic.com/album/look-what-you-dubbing-vol-2-mw0003894733"
"Da Ruba Girl","06:17","December 9, 2022","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/da-ruba-girl-mw0003897503"
"TobyMac: The Goodness of Christmas","16:48","December 2, 2022","",NA,"","Holiday","https://www.allmusic.com/genre/holiday-ma0000012075","","","","","","","https://www.allmusic.com/album/tobymac-the-goodness-of-christmas-mw0003903551"
"Unreleased Pleasures",NA,"December 16, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/unreleased-pleasures-mw0003917465"
"Blonde [Soundtrack from the Netflix Film]",NA,"September 28, 2022","",NA,"","Pop/Rock;Classical","https://www.allmusic.com/genre/pop-rock-ma0000002613;https://www.allmusic.com/genre/classical-ma0000002521","Alternative/Indie Rock;Film Score;Original Score;Experimental Rock;Film Music;Soundtracks","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/film-score-ma0000012306;https://www.allmusic.com/style/original-score-ma0000012320;https://www.allmusic.com/style/experimental-rock-ma0000002583;https://www.allmusic.com/style/film-music-ma0000002974;https://www.allmusic.com/style/soundtracks-ma0000002867","Atmospheric;Cerebral;Dramatic;Improvisatory;Suspenseful;Theatrical;Thoughtful;Visceral;Cathartic;Eccentric;Explosive;Intense;Lonely;Melancholy;Passionate;Provocative;Rousing;Weary","https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/improvisatory-xa0000001023;https://www.allmusic.com/mood/suspenseful-xa0000001117;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/thoughtful-xa0000001121;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/eccentric-xa0000000983;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/lonely-xa0000000727;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/weary-xa0000001139","Imagination;Maverick","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/maverick-ma0000006335","https://www.allmusic.com/album/blonde-soundtrack-from-the-netflix-film--mw0003833869"
"Early Years: The Singles Collection 1941-1950",NA,"December 9, 2022","",NA,"","Vocal","https://www.allmusic.com/genre/vocal-ma0000011877","","","","","","","https://www.allmusic.com/album/early-years-the-singles-collection-1941-1950-mw0003835743"
"A Tribute to Ryuichi Sakamoto: To the Moon and Back","01:12:07","December 2, 2022","",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","","","","","","","https://www.allmusic.com/album/a-tribute-to-ryuichi-sakamoto-to-the-moon-and-back-mw0003838939"
"On Savoy","46:28","September 30, 2022","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/on-savoy-mw0003843228"
"Seven Psalms",NA,"June 17, 2022","",NA,"","Comedy/Spoken","https://www.allmusic.com/genre/comedy-spoken-ma0000004433","Spoken Word","https://www.allmusic.com/style/spoken-word-ma0000002875","","","","","https://www.allmusic.com/album/seven-psalms-mw0003719424"
"Unsuitable for Airplay: The Lost KFAI Concert","01:01:22","April 23, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/unsuitable-for-airplay-the-lost-kfai-concert-mw0003718813"
"The Perfect Vision",NA,"November 25, 2022","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/the-perfect-vision-mw0003850280"
"5lbs. of Pressure EP","12:19","October 20, 2022","6",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","Contemporary Rap;Southern Rap;Trap (Rap)","https://www.allmusic.com/style/contemporary-rap-ma0000013542;https://www.allmusic.com/style/southern-rap-ma0000002871;https://www.allmusic.com/style/trap-rap-ma0000013576","Anguished/Distraught;Bleak;Grim;Gritty;Cold;Menacing;Aggressive;Dark;Ominous;Serious;Tough;Confessional;Nocturnal;Somber;Tense/Anxious;Uncompromising","https://www.allmusic.com/mood/anguished-distraught-xa0000000696;https://www.allmusic.com/mood/bleak-xa0000000947;https://www.allmusic.com/mood/grim-xa0000001013;https://www.allmusic.com/mood/gritty-xa0000001014;https://www.allmusic.com/mood/cold-xa0000000963;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/dark-xa0000000970;https://www.allmusic.com/mood/ominous-xa0000001055;https://www.allmusic.com/mood/serious-xa0000000766;https://www.allmusic.com/mood/tough-xa0000001122;https://www.allmusic.com/mood/confessional-xa0000001440;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/somber-xa0000001098;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/uncompromising-xa0000001129","Biographical;Street Life;Struggle;Death;Violence;Catharsis;City Life;Cool & Cocky;Anger/Hostility;Loss/Grief","https://www.allmusic.com/theme/biographical-ma0000005036;https://www.allmusic.com/theme/street-life-ma0000005112;https://www.allmusic.com/theme/struggle-ma0000013591;https://www.allmusic.com/theme/death-ma0000004250;https://www.allmusic.com/theme/violence-ma0000005118;https://www.allmusic.com/theme/catharsis-ma0000013572;https://www.allmusic.com/theme/city-life-ma0000004247;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/anger-hostility-ma0000005031;https://www.allmusic.com/theme/loss-grief-ma0000005065","https://www.allmusic.com/album/5lbs-of-pressure-ep-mw0003945999"
"Closure/Continuation","48:01","June 24, 2022","6",NA,"Rosewood Music","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Art Rock;Alternative/Indie Rock;Neo-Prog;Post-Rock","https://www.allmusic.com/style/art-rock-ma0000002431;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/neo-prog-ma0000012218;https://www.allmusic.com/style/post-rock-ma0000002790","Cerebral;Elaborate;Ambitious;Atmospheric;Brooding;Complex;Dramatic;Searching;Sprawling;Theatrical","https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/elaborate-xa0000000987;https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/sprawling-xa0000001108;https://www.allmusic.com/mood/theatrical-xa0000001120","Imagination;Adventure;Awareness;Politics/Society;Reflection;Separation","https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/adventure-ma0000005030;https://www.allmusic.com/theme/awareness-ma0000005045;https://www.allmusic.com/theme/politics-society-ma0000005093;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/separation-ma0000005105","https://www.allmusic.com/album/closure-continuation-mw0003617672"
