"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","Clank","","https://www.allmusic.com/song/clank-mt0061675249","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"2","Sluice","","https://www.allmusic.com/song/sluice-mt0061675250","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"3","Firpln","","https://www.allmusic.com/song/firpln-mt0061675251","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"1","Unitiled","","https://www.allmusic.com/song/unitiled-mt0061675252","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"2","OFD","","https://www.allmusic.com/song/ofd-mt0061675253","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"3","Pyn","","https://www.allmusic.com/song/pyn-mt0061675254","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"4","MK 2.1","","https://www.allmusic.com/song/mk-21-mt0061675255","","","https://www.allmusic.com/artist/john-frusciante-mn0000223627","John Frusciante","https://www.allmusic.com/album/-i--mw0003887585"
"1","Desperado","03:34","https://www.allmusic.com/song/desperado-mt0062022773","https://www.allmusic.com/artist/glenn-frey-mn0000657041;https://www.allmusic.com/artist/don-henley-mn0000184091","Glenn Frey;Don Henley","https://www.allmusic.com/artist/celtic-thunder-mn0000187776","Celtic Thunder","https://www.allmusic.com/album/celebration-favorite-pop-hits-across-the-decades-mw0003887711"
"2","I Want to Know What Love Is","03:32","https://www.allmusic.com/song/i-want-to-know-what-love-is-mt0062022781","https://www.allmusic.com/artist/mick-jones-mn0000407058","Mick Jones","https://www.allmusic.com/artist/celtic-thunder-mn0000187776","Celtic Thunder","https://www.allmusic.com/album/celebration-favorite-pop-hits-across-the-decades-mw0003887711"
"3","Nights in White Satin","03:10","https://www.allmusic.com/song/nights-in-white-satin-mt0062022779","https://www.allmusic.com/artist/justin-hayward-mn0000517175","Justin Hayward","https://www.allmusic.com/artist/celtic-thunder-mn0000187776","Celtic Thunder","https://www.allmusic.com/album/celebration-favorite-pop-hits-across-the-decades-mw0003887711"
