"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Cartagena","41:27","September 24, 2021","",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","","","","","","","https://www.allmusic.com/album/cartagena-mw0003599289"
"Beyond the Reef and Other Instrumental Favorites","36:40","September 17, 2021","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/beyond-the-reef-and-other-instrumental-favorites-mw0003598271"
"5-4-3-2-1: The Greatest Hits","53:53","October 15, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","British Invasion","https://www.allmusic.com/style/british-invasion-ma0000002484","","","","","https://www.allmusic.com/album/5-4-3-2-1-the-greatest-hits-mw0003598992"
"The Rare Reprise Singles","01:12:56","December 3, 2021","",NA,"","Vocal;Pop/Rock","https://www.allmusic.com/genre/vocal-ma0000011877;https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/the-rare-reprise-singles-mw0003598545"
"Music for Photographers","01:17:50","November 12, 2021","",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","","","","","","","https://www.allmusic.com/album/music-for-photographers-mw0003601076"
"Homecoming","01:55:40","September 24, 2021","",NA,"","Religious","https://www.allmusic.com/genre/religious-ma0000004431","Gospel","https://www.allmusic.com/style/gospel-ma0000002622","","","","","https://www.allmusic.com/album/homecoming-mw0003602930"
"Lost Not Forgotten Archives: When Dream and Day Reunite","01:17:34","December 3, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Heavy Metal","https://www.allmusic.com/style/heavy-metal-ma0000002721","","","","","https://www.allmusic.com/album/lost-not-forgotten-archives-when-dream-and-day-reunite-mw0003603324"
"Garden Party","03:49","October 1, 2021","",NA,"","R&B","https://www.allmusic.com/genre/r-b-ma0000002809","","","","","","","https://www.allmusic.com/album/garden-party-mw0003603479"
"The Tipping Point [Single]","04:13","October 7, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/the-tipping-point-single--mw0003605118"
"Imposter","46:42","November 12, 2021","5",NA,"Shangri-la Studios, Malibu, CA;Wolf Cabin, Oxfordshire","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative Singer/Songwriter;Alternative/Indie Rock","https://www.allmusic.com/style/alternative-singer-songwriter-ma0000012100;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","Brooding;Gloomy;Intimate;Introspective;Laid-Back/Mellow;Melancholy;Nocturnal;Reflective;Somber;Warm;Yearning;Dramatic;Earthy;Gritty;Languid;Weary;Soothing;Spiritual;Autumnal;Calm/Peaceful;Elegiac;Sophisticated;Swaggering;Cathartic;Theatrical;Dreamy","https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/gloomy-xa0000000714;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/introspective-xa0000001027;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/somber-xa0000001098;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/gritty-xa0000001014;https://www.allmusic.com/mood/languid-xa0000001033;https://www.allmusic.com/mood/weary-xa0000001139;https://www.allmusic.com/mood/soothing-xa0000001099;https://www.allmusic.com/mood/spiritual-xa0000001105;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/elegiac-xa0000000989;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/swaggering-xa0000001118;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/dreamy-xa0000000709","Feeling Blue;Introspection;Late Night;Long Walk;Open Road;Reflection;Solitude;Night Driving;Nighttime;Stay in Bed;Drinking;Rainy Day;Autumn;Storms;Daydreaming;Destiny;Temptation","https://www.allmusic.com/theme/feeling-blue-ma0000004251;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/long-walk-ma0000006317;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/solitude-ma0000006313;https://www.allmusic.com/theme/night-driving-ma0000006332;https://www.allmusic.com/theme/nighttime-ma0000006276;https://www.allmusic.com/theme/stay-in-bed-ma0000006326;https://www.allmusic.com/theme/drinking-ma0000004252;https://www.allmusic.com/theme/rainy-day-ma0000005096;https://www.allmusic.com/theme/autumn-ma0000004245;https://www.allmusic.com/theme/storms-ma0000006278;https://www.allmusic.com/theme/daydreaming-ma0000006270;https://www.allmusic.com/theme/destiny-ma0000005053;https://www.allmusic.com/theme/temptation-ma0000005114","https://www.allmusic.com/album/imposter-mw0003605219"
"In Remembrance: Love Songs & Lost Treasures","01:07:13","December 3, 2021","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/in-remembrance-love-songs-lost-treasures-mw0003606867"
"Nasty Girl","03:34","October 1, 2021","",NA,"","R&B;Rap","https://www.allmusic.com/genre/r-b-ma0000002809;https://www.allmusic.com/genre/rap-ma0000002816","Contemporary R&B","https://www.allmusic.com/style/contemporary-r-b-ma0000002969","","","","","https://www.allmusic.com/album/nasty-girl-mw0003607155"
"Presents the Best of Broadway Musicals, Vol. 1","01:27:09","October 29, 2021","",NA,"","Easy Listening;Stage & Screen","https://www.allmusic.com/genre/easy-listening-ma0000002567;https://www.allmusic.com/genre/stage-screen-ma0000004432","Show Tunes","https://www.allmusic.com/style/show-tunes-ma0000002852","","","","","https://www.allmusic.com/album/presents-the-best-of-broadway-musicals-vol-1-mw0003607774"
"Play and Sing the Songs Made Famous by Elton John","33:30","October 29, 2021","",NA,"","Easy Listening","https://www.allmusic.com/genre/easy-listening-ma0000002567","","","","","","","https://www.allmusic.com/album/play-and-sing-the-songs-made-famous-by-elton-john-mw0003607775"
"Live Manchester 2019",NA,"December 10, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/live-manchester-2019-mw0003608628"
"Sun Goes Down","02:48","May 21, 2021","",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","","","","","","","https://www.allmusic.com/album/sun-goes-down-mw0003541494"
"Solar Power","03:13","June 11, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","","","","","https://www.allmusic.com/album/solar-power-mw0003541623"
"Louie Louie & Other Great Hits","28:43","April 29, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/louie-louie-other-great-hits-mw0003543165"
"Marching Music",NA,"April 16, 2021","",NA,"","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","","","","","","","https://www.allmusic.com/album/marching-music-mw0003542858"
"BED: The Remixes, Pt.1","09:38","June 18, 2021","",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","Club/Dance","https://www.allmusic.com/style/club-dance-ma0000002544","","","","","https://www.allmusic.com/album/bed-the-remixes-pt1-mw0003543348"
"BED: The Remixes, Pt.2","19:16","June 18, 2021","",NA,"","Electronic","https://www.allmusic.com/genre/electronic-ma0000002572","Club/Dance","https://www.allmusic.com/style/club-dance-ma0000002544","","","","","https://www.allmusic.com/album/bed-the-remixes-pt2-mw0003543349"
"101 Strings Orchestra Presents the Great American Songbook, Vol. 1","01:20:28","July 9, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/101-strings-orchestra-presents-the-great-american-songbook-vol-1-mw0003543395"
"Live at Massey Hall, Toronto, Canada 1985","01:06:24","June 12, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/live-at-massey-hall-toronto-canada-1985-mw0003543429"
"ZeroZeroZero [Original Motion Picture Soundtrack]","01:08:43","June 12, 2021","",NA,"","Stage & Screen;Pop/Rock","https://www.allmusic.com/genre/stage-screen-ma0000004432;https://www.allmusic.com/genre/pop-rock-ma0000002613","TV Soundtracks;Soundtracks;Original Score","https://www.allmusic.com/style/tv-soundtracks-ma0000012200;https://www.allmusic.com/style/soundtracks-ma0000002867;https://www.allmusic.com/style/original-score-ma0000012320","","","","","https://www.allmusic.com/album/zerozerozero-original-motion-picture-soundtrack--mw0003543735"
"Love in 4D","20:26","June 10, 2021","",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/love-in-4d-mw0003543861"
"Yonaguni","03:26","June 4, 2021","",NA,"","Latin","https://www.allmusic.com/genre/latin-ma0000002692","","","","","","","https://www.allmusic.com/album/yonaguni-mw0003544231"
"Just for Me","03:37","June 11, 2021","",NA,"","R&B;Stage & Screen","https://www.allmusic.com/genre/r-b-ma0000002809;https://www.allmusic.com/genre/stage-screen-ma0000004432","Alternative R&B;Soundtracks;Contemporary R&B","https://www.allmusic.com/style/alternative-r-b-ma0000013375;https://www.allmusic.com/style/soundtracks-ma0000002867;https://www.allmusic.com/style/contemporary-r-b-ma0000002969","","","","","https://www.allmusic.com/album/just-for-me-mw0003544336"
