"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","Allegro moderato","10:28","https://www.allmusic.com/performance/allegro-moderato-mq0002554880","https://www.allmusic.com/artist/joseph-boulogne-chevalier-de-saint-georges-mn0001640023","Joseph Boulogne, Chevalier de Saint-Georges","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"2","Largo","08:40","https://www.allmusic.com/performance/largo-mq0002554880","https://www.allmusic.com/artist/joseph-boulogne-chevalier-de-saint-georges-mn0001640023","Joseph Boulogne, Chevalier de Saint-Georges","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"3","Rondeau","04:44","https://www.allmusic.com/performance/rondeau-mq0002554880","https://www.allmusic.com/artist/joseph-boulogne-chevalier-de-saint-georges-mn0001640023","Joseph Boulogne, Chevalier de Saint-Georges","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"4","Allegro","11:40","https://www.allmusic.com/performance/allegro-mq0002554881","https://www.allmusic.com/artist/joseph-lafitte-mn0001596032","Joseph Lafitte","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"5","Adagio ma non troppo","04:54","https://www.allmusic.com/performance/adagio-ma-non-troppo-mq0002554881","https://www.allmusic.com/artist/joseph-lafitte-mn0001596032","Joseph Lafitte","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"6","Allegro moderato","05:07","https://www.allmusic.com/performance/allegro-moderato-mq0002554881","https://www.allmusic.com/artist/joseph-lafitte-mn0001596032","Joseph Lafitte","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"7","Romance in G major for Violin and Orchestra, Op 39","12:42","https://www.allmusic.com/performance/romance-in-g-major-for-violin-and-orchestra-op-39-mq0002554882","https://www.allmusic.com/artist/samuel-coleridge-taylor-mn0002108521","Samuel Coleridge-Taylor","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"8","Violin Concerto No. 2","14:46","https://www.allmusic.com/performance/violin-concerto-no-2-mq0002554883","https://www.allmusic.com/artist/florence-price-mn0001623866","Florence Price","https://www.allmusic.com/artist/daniel-hege-mn0002005140;https://www.allmusic.com/artist/jonathon-heyward-mn0003881352;https://www.allmusic.com/artist/rachel-barton-pine-mn0001687527","Daniel Hege;Jonathon Heyward;Rachel Barton Pine","https://www.allmusic.com/album/violin-concertos-by-black-composers-through-the-centuries-25th-anniversary-edition--mw0003760573"
"1","I. Allegro moderato","14:41","https://www.allmusic.com/performance/i-allegro-moderato-mq0002556119","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"2","II. Andante con moto","09:59","https://www.allmusic.com/performance/ii-andante-con-moto-mq0002556119","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"1","I. Andante - Allegro ma non troppo - Più mosso","15:26","https://www.allmusic.com/performance/i-andante-allegro-ma-non-troppo-pi%C3%B9-mosso-mq0002556120","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"2","II. Andante con moto","13:55","https://www.allmusic.com/performance/ii-andante-con-moto-mq0002556120","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"3","III. Scherzo. Allegro vivace - Trio - Scherzo da capo","16:27","https://www.allmusic.com/performance/iii-scherzo-allegro-vivace-trio-scherzo-da-capo-mq0002556120","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"4","IV. Allegro vivace","15:29","https://www.allmusic.com/performance/iv-allegro-vivace-mq0002556120","https://www.allmusic.com/artist/franz-schubert-mn0000691239","Franz Schubert","https://www.allmusic.com/artist/le-concert-des-nations-mn0002343151;https://www.allmusic.com/artist/jordi-savall-mn0000676650","Le Concert des Nations;Jordi Savall","https://www.allmusic.com/album/transfiguration-schubert-symphonie-inachev%C3%A9e-grande-symphonie-mw0003780797"
"1","POF","03:40","https://www.allmusic.com/song/pof-mt0061286897","https://www.allmusic.com/artist/jermaine-cole-mn0002596035;https://www.allmusic.com/artist/michael-holmes-mn0003311176;https://www.allmusic.com/artist/courtney-shanade-salter-mn0003462647;https://www.allmusic.com/artist/kelvin-wooten-mn0000101179","Jermaine Cole;Michael Holmes;Courtney Shanade Salter;Kelvin Wooten","https://www.allmusic.com/artist/ari-lennox-mn0003462621","Ari Lennox","https://www.allmusic.com/album/age-sex-location-mw0003798229"
"2","Hoodie","04:06","https://www.allmusic.com/song/hoodie-mt0061286896","https://www.allmusic.com/artist/jonathan-floyd-mn0000376448;https://www.allmusic.com/artist/stafford-floyd-mn0001486409;https://www.allmusic.com/artist/anthony-parrino-mn0003393140;https://www.allmusic.com/artist/courtney-shanade-salter-mn0003462647","Jonathan Floyd;Stafford Floyd;Anthony Parrino;Courtney Shanade Salter","https://www.allmusic.com/artist/ari-lennox-mn0003462621","Ari Lennox","https://www.allmusic.com/album/age-sex-location-mw0003798229"
"3","Waste My Time","02:43","https://www.allmusic.com/song/waste-my-time-mt0061286898","https://www.allmusic.com/artist/uzoechi-emenike-mn0002845271;https://www.allmusic.com/artist/rowan-perkins-mn0003806019;https://www.allmusic.com/artist/courtney-shanade-salter-mn0003462647;https://www.allmusic.com/artist/tim-suby-mn0003619171","Uzoechi Emenike;Rowan Perkins;Courtney Shanade Salter;Tim Suby","https://www.allmusic.com/artist/ari-lennox-mn0003462621","Ari Lennox","https://www.allmusic.com/album/age-sex-location-mw0003798229"
"4","Pressure","03:12","https://www.allmusic.com/song/pressure-mt0061286899","https://www.allmusic.com/artist/johnta-austin-mn0000254125;https://www.allmusic.com/artist/bryan-michael-cox-mn0000731370;https://www.allmusic.com/artist/jermaine-dupri-mn0000322733;https://www.allmusic.com/artist/jailen-josey-mn0004127919;https://www.allmusic.com/artist/anthony-parrino-mn0003393140;https://www.allmusic.com/artist/courtney-shanade-salter-mn0003462647","Johnta Austin;Bryan-Michael Cox;Jermaine Dupri;Jai'Len Josey;Anthony Parrino;Courtney Shanade Salter","https://www.allmusic.com/artist/ari-lennox-mn0003462621","Ari Lennox","https://www.allmusic.com/album/age-sex-location-mw0003798229"
