"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"Handel: Rodelinda","03:16:58","May 27, 2022","8","September 9, 2021","Deutsches Theater Göttingen, Germany","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Opera","https://www.allmusic.com/style/opera-ma0000004512","Atmospheric;Bright;Cosmopolitan;Dramatic;Driving;Extroverted;Exuberant;Flowing;Lyrical;Majestic;Melodic;Organic;Ornate;Refined;Rustic;Theatrical","https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/cosmopolitan-xa0000000967;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/extroverted-xa0000000996;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/majestic-xa0000000728;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/rustic-xa0000001082;https://www.allmusic.com/mood/theatrical-xa0000001120","","","https://www.allmusic.com/album/handel-rodelinda-mw0003707127"
"Ries: Piano Trio & Sextets","01:18:11","July 1, 2022","8","May 10, 2021 - May 12, 2021","St Silas the Martyr, Kentish Town, London","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","Cheerful;Elegant;Energetic;Flashy;Melodic;Playful;Reflective;Sentimental;Theatrical","https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/flashy-xa0000001003;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/theatrical-xa0000001120","","","https://www.allmusic.com/album/ries-piano-trio-sextets-mw0003708638"
"Sopranista","58:28","May 27, 2022","8","","Landgasthof Riehen, Switzerland","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Opera","https://www.allmusic.com/style/opera-ma0000004512","Amiable/Good-Natured;Bravado;Dignified/Noble;Driving;Elegant;Energetic;Intense;Lively;Lyrical;Melodic;Ornate;Passionate;Refined;Theatrical;Turbulent","https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/bravado-xa0000000951;https://www.allmusic.com/mood/dignified-noble-xa0000000977;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/lively-xa0000000726;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/theatrical-xa0000001120;https://www.allmusic.com/mood/turbulent-xa0000001128","","","https://www.allmusic.com/album/sopranista-mw0003711572"
"David Lang: the writings","55:38","June 10, 2022","8","","Pieterskerk Utrecht, Netherlands","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Choral","https://www.allmusic.com/style/choral-ma0000004509","Atmospheric;Bright;Exploratory;Flowing;Lyrical;Melodic;Mysterious;Radiant;Refined;Shimmering;Sophisticated;Transparent/Translucent;Warm","https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/exploratory-xa0000001441;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/mysterious-xa0000000738;https://www.allmusic.com/mood/radiant-xa0000001450;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/shimmering-xa0000001092;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/transparent-translucent-xa0000001124;https://www.allmusic.com/mood/warm-xa0000001138","","","https://www.allmusic.com/album/david-lang-the-writings-mw0003714119"
"Live from Vienna","01:14:13","May 27, 2022","8","April 25, 2019","Musikverein, Vienna","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Band Music","https://www.allmusic.com/style/band-music-ma0000004501","Aggressive;Benevolent;Bombastic;Brassy;Bright;Celebratory;Cheerful;Majestic;Martial;Meditative;Melodic;Opulent;Stately","https://www.allmusic.com/mood/aggressive-xa0000000694;https://www.allmusic.com/mood/benevolent-xa0000000944;https://www.allmusic.com/mood/bombastic-xa0000000948;https://www.allmusic.com/mood/brassy-xa0000000950;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/majestic-xa0000000728;https://www.allmusic.com/mood/martial-xa0000001043;https://www.allmusic.com/mood/meditative-xa0000000732;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/opulent-xa0000001056;https://www.allmusic.com/mood/stately-xa0000001111","","","https://www.allmusic.com/album/live-from-vienna-mw0003714211"
"Superache","40:16","June 24, 2022","8","2021","Amusement Studios, Los Angeles, CA;Cirkut City, Los Angeles, CA","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Indie Pop;Left-Field Pop;Pop;Bedroom Pop;Social Media Pop;Alternative/Indie Rock","https://www.allmusic.com/style/indie-pop-ma0000004494;https://www.allmusic.com/style/left-field-pop-ma0000013523;https://www.allmusic.com/style/pop-ma0000012254;https://www.allmusic.com/style/bedroom-pop-ma0000013651;https://www.allmusic.com/style/social-media-pop-ma0000013541;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230","Dreamy;Romantic;Searching;Stylish;Thoughtful;Yearning;Cathartic;Lyrical;Sugary;Intimate;Melancholy;Passionate","https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/romantic-xa0000000758;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/thoughtful-xa0000001121;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/sugary-xa0000001115;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/passionate-xa0000001062","In Love;Introspection;Relationships;Heartache;World View;Empowerment;Romance;Yearning;Awareness;Passion","https://www.allmusic.com/theme/in-love-ma0000005076;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/world-view-ma0000005123;https://www.allmusic.com/theme/empowerment-ma0000005579;https://www.allmusic.com/theme/romance-ma0000005100;https://www.allmusic.com/theme/yearning-ma0000005047;https://www.allmusic.com/theme/awareness-ma0000005045;https://www.allmusic.com/theme/passion-ma0000005086","https://www.allmusic.com/album/superache-mw0003714826"
"Symphonic Tone Poem for Brother Yusef","41:20","June 17, 2022","8",NA,"Clear Lake Studio, New Jersey;Redgate Recorders, California","Jazz","https://www.allmusic.com/genre/jazz-ma0000002674","Post-Bop;Global Jazz;Avant-Garde Jazz;Modern Creative;International Fusion;Avant-Garde Music","https://www.allmusic.com/style/post-bop-ma0000005010;https://www.allmusic.com/style/global-jazz-ma0000012260;https://www.allmusic.com/style/avant-garde-jazz-ma0000002438;https://www.allmusic.com/style/modern-creative-ma0000011987;https://www.allmusic.com/style/international-fusion-ma0000005029;https://www.allmusic.com/style/avant-garde-music-ma0000004930","Dreamy;Energetic;Ambitious;Atmospheric;Boisterous;Calm/Peaceful;Complex;Confident;Earthy;Enigmatic;Exciting;Exuberant;Fiery;Hypnotic;Intense;Knotty;Lush;Passionate;Playful;Provocative;Refined;Rousing;Sensual;Sophisticated;Spacey;Spiritual;Stylish;Uncompromising;Visceral;Dramatic;Elaborate;Elegant","https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/ambitious-xa0000000933;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/boisterous-xa0000000699;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/enigmatic-xa0000000991;https://www.allmusic.com/mood/exciting-xa0000000994;https://www.allmusic.com/mood/exuberant-xa0000000997;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/knotty-xa0000001031;https://www.allmusic.com/mood/lush-xa0000001037;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/provocative-xa0000001070;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/sensual-xa0000000764;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/spacey-xa0000001101;https://www.allmusic.com/mood/spiritual-xa0000001105;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/elaborate-xa0000000987;https://www.allmusic.com/mood/elegant-xa0000000988","Everyday Life;The Great Outdoors;Imagination;Open Road;Road Trip","https://www.allmusic.com/theme/everyday-life-ma0000005057;https://www.allmusic.com/theme/the-great-outdoors-ma0000006296;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/road-trip-ma0000006287","https://www.allmusic.com/album/symphonic-tone-poem-for-brother-yusef-mw0003715159"
"Matthew Locke: The Flat Consort","01:07:16","January 14, 2022","8","April 28, 2021 - May 1, 2021","St George's Church, Chesterton, Cambridge, England","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Chamber Music","https://www.allmusic.com/style/chamber-music-ma0000004500","Cerebral;Complex;Dark;Delicate;Earthy;Exploratory;Lyrical;Organic;Ornate;Rustic","https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/complex-xa0000000964;https://www.allmusic.com/mood/dark-xa0000000970;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/exploratory-xa0000001441;https://www.allmusic.com/mood/lyrical-xa0000001038;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/ornate-xa0000001058;https://www.allmusic.com/mood/rustic-xa0000001082","","","https://www.allmusic.com/album/matthew-locke-the-flat-consort-mw0003624793"
"Country Stuff the Album","39:33","January 21, 2022","8",NA,"Boomcity Studios;East Iris Studios, Nashville, TN;Fleauxmotion Studios, Franklin, TN;Ivory & Rye, Nashville, TN;Sound Emporium Studios, Nashville, TN;The Imagine Cabin, Franklin, TN","Country;Pop/Rock","https://www.allmusic.com/genre/country-ma0000002532;https://www.allmusic.com/genre/pop-rock-ma0000002613","Contemporary Country;Contemporary Singer/Songwriter;Country-Pop","https://www.allmusic.com/style/contemporary-country-ma0000002946;https://www.allmusic.com/style/contemporary-singer-songwriter-ma0000012268;https://www.allmusic.com/style/country-pop-ma0000004416","Playful;Slick;Smooth;Summery;Bright;Earthy;Sexy;Intimate;Reassuring/Consoling;Thoughtful;Warm;Agreeable;Poignant;Cheerful;Searching","https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/slick-xa0000001095;https://www.allmusic.com/mood/smooth-xa0000001096;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/sexy-xa0000000770;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/reassuring-consoling-xa0000001074;https://www.allmusic.com/mood/thoughtful-xa0000001121;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/agreeable-xa0000000715;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/searching-xa0000001088","Day Driving;Hanging Out;Road Trip;Late Night;Summer;Affirmation;Open Road;Affection/Fondness;Early Morning;Rainy Day;TGIF","https://www.allmusic.com/theme/day-driving-ma0000006330;https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/road-trip-ma0000006287;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/summer-ma0000004281;https://www.allmusic.com/theme/affirmation-ma0000006324;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/affection-fondness-ma0000006327;https://www.allmusic.com/theme/early-morning-ma0000006320;https://www.allmusic.com/theme/rainy-day-ma0000005096;https://www.allmusic.com/theme/tgif-ma0000006308","https://www.allmusic.com/album/country-stuff-the-album-mw0003626502"
"Sonancy","42:35","March 25, 2022","8",NA,"Joe's Garage","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Noise-Rock;Space Rock;Shoegaze","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/noise-rock-ma0000004455;https://www.allmusic.com/style/space-rock-ma0000012255;https://www.allmusic.com/style/shoegaze-ma0000004454","Spacey;Fiery;Menacing;Nocturnal;Sprawling;Suffocating;Bleak;Druggy;Eerie;Gloomy;Hypnotic;Ominous;Paranoid;Trippy;Visceral;Cerebral;Detached;Intense;Tense/Anxious;Explosive;Threatening","https://www.allmusic.com/mood/spacey-xa0000001101;https://www.allmusic.com/mood/fiery-xa0000001002;https://www.allmusic.com/mood/menacing-xa0000001045;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/sprawling-xa0000001108;https://www.allmusic.com/mood/suffocating-xa0000001114;https://www.allmusic.com/mood/bleak-xa0000000947;https://www.allmusic.com/mood/druggy-xa0000000979;https://www.allmusic.com/mood/eerie-xa0000000985;https://www.allmusic.com/mood/gloomy-xa0000000714;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/ominous-xa0000001055;https://www.allmusic.com/mood/paranoid-xa0000001061;https://www.allmusic.com/mood/trippy-xa0000000749;https://www.allmusic.com/mood/visceral-xa0000001135;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/detached-xa0000000707;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/explosive-xa0000000700;https://www.allmusic.com/mood/threatening-xa0000000777","Late Night;Dreaming;Visions;SciFi;Violence","https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/dreaming-ma0000005055;https://www.allmusic.com/theme/visions-ma0000006280;https://www.allmusic.com/theme/scifi-ma0000005103;https://www.allmusic.com/theme/violence-ma0000005118","https://www.allmusic.com/album/sonancy-mw0003629945"
