"num","title","duration","url","composer_urls","composer_names","performer_urls","performer_names","album_url"
"1","Twenty-Four Hour Blues","","https://www.allmusic.com/song/twenty-four-hour-blues-mt0062339286","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"2","It's Hard But It's Fair","","https://www.allmusic.com/song/its-hard-but-its-fair-mt0062339285","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"3","Well I Done Got Over It","","https://www.allmusic.com/song/well-i-done-got-over-it-mt0062339288","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"4","I Want To Shout About It","","https://www.allmusic.com/song/i-want-to-shout-about-it-mt0062339282","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"5","Win-O","","https://www.allmusic.com/song/win-o-mt0062339287","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"6","Hope You Realize It (Goodbye Again)","","https://www.allmusic.com/song/hope-you-realize-it-goodbye-again-mt0062339281","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"7","Lazy Poker Blues","","https://www.allmusic.com/song/lazy-poker-blues-mt0062339280","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"8","You Sure Drive A Hard Bargain","","https://www.allmusic.com/song/you-sure-drive-a-hard-bargain-mt0062339283","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"9","The  Truth Hurts","","https://www.allmusic.com/song/the-truth-hurts-mt0062339289","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
"10","Is It Safe To Go Home","","https://www.allmusic.com/song/is-it-safe-to-go-home-mt0062339284","","","https://www.allmusic.com/artist/joe-bonamassa-mn0000118243","Joe Bonamassa","https://www.allmusic.com/album/blues-deluxe-vol-2-mw0004004850"
