"album","duration","release_date","all_music_rating","recording_date","recording_locations","genre_names","genre_urls","style_names","style_urls","mood_names","mood_urls","theme_names","theme_urls","url"
"#1's, Vol. 1",NA,"January 28, 2022","",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","","","","","","","https://www.allmusic.com/album/-1s-vol-1-mw0004108820"
"Manticore","46:05","February 18, 2022","6","2020 & 2021","The Whip","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Indie Rock;Indie Folk;Alt-Country;Americana","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/indie-rock-ma0000004453;https://www.allmusic.com/style/indie-folk-ma0000012149;https://www.allmusic.com/style/alt-country-ma0000002421;https://www.allmusic.com/style/americana-ma0000004415","Brash;Confident;Earnest;Energetic;Intense;Passionate;Raucous;Reflective;Bittersweet;Circular;Dreamy;Earthy;Hypnotic;Organic;Plaintive;Poignant;Rousing;Wistful;Yearning;Flashy","https://www.allmusic.com/mood/brash-xa0000000949;https://www.allmusic.com/mood/confident-xa0000000748;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/intense-xa0000000721;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/raucous-xa0000001073;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/circular-xa0000000961;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/plaintive-xa0000001066;https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/rousing-xa0000000759;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/flashy-xa0000001003","Cool & Cocky;Drinking;Feeling Blue;Playful","https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/drinking-ma0000004252;https://www.allmusic.com/theme/feeling-blue-ma0000004251;https://www.allmusic.com/theme/playful-ma0000006315","https://www.allmusic.com/album/manticore-mw0003610540"
"Gammapolis/Live at the Kisstadion","01:51:38","2022","6",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","","","","","","","https://www.allmusic.com/album/gammapolis-live-at-the-kisstadion-mw0003773164"
"demon time","29:29","September 16, 2022","6",NA,"","Electronic;Pop/Rock","https://www.allmusic.com/genre/electronic-ma0000002572;https://www.allmusic.com/genre/pop-rock-ma0000002613","Left-Field Pop;Alternative Dance;Club/Dance;Pop","https://www.allmusic.com/style/left-field-pop-ma0000013523;https://www.allmusic.com/style/alternative-dance-ma0000011883;https://www.allmusic.com/style/club-dance-ma0000002544;https://www.allmusic.com/style/pop-ma0000012254","Fun;Playful;Carefree;Celebratory;Hedonistic;Street-Smart;Swaggering;Cheerful;Summery;Sweet;Giddy;Pulsing;Sexual;Introspective","https://www.allmusic.com/mood/fun-xa0000001006;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/celebratory-xa0000000703;https://www.allmusic.com/mood/hedonistic-xa0000001018;https://www.allmusic.com/mood/street-smart-xa0000001112;https://www.allmusic.com/mood/swaggering-xa0000001118;https://www.allmusic.com/mood/cheerful-xa0000000704;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/sweet-xa0000000773;https://www.allmusic.com/mood/giddy-xa0000001009;https://www.allmusic.com/mood/pulsing-xa0000000750;https://www.allmusic.com/mood/sexual-xa0000001091;https://www.allmusic.com/mood/introspective-xa0000001027","Club;Playful;Cool & Cocky;Girls Night Out;Guys Night Out;Nighttime;Good Times;Relationships;Introspection","https://www.allmusic.com/theme/club-ma0000005633;https://www.allmusic.com/theme/playful-ma0000006315;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/girls-night-out-ma0000006292;https://www.allmusic.com/theme/guys-night-out-ma0000006291;https://www.allmusic.com/theme/nighttime-ma0000006276;https://www.allmusic.com/theme/good-times-ma0000006282;https://www.allmusic.com/theme/relationships-ma0000005097;https://www.allmusic.com/theme/introspection-ma0000006318","https://www.allmusic.com/album/demon-time-mw0003727629"
"Livin' My Best Life","48:21","August 5, 2022","6",NA,"","Country","https://www.allmusic.com/genre/country-ma0000002532","Contemporary Country;Country-Pop","https://www.allmusic.com/style/contemporary-country-ma0000002946;https://www.allmusic.com/style/country-pop-ma0000004416","Poignant;Wistful;Autumnal;Bittersweet;Earthy;Reflective;Sentimental;Atmospheric;Earnest;Intimate;Organic","https://www.allmusic.com/mood/poignant-xa0000001068;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/sentimental-xa0000000765;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/organic-xa0000001057","Heartache;Heartbreak;Sun;Introspection;Reflection;Summer;Feeling Blue;Nostalgia","https://www.allmusic.com/theme/heartache-ma0000006311;https://www.allmusic.com/theme/heartbreak-ma0000004246;https://www.allmusic.com/theme/sun-ma0000004282;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/summer-ma0000004281;https://www.allmusic.com/theme/feeling-blue-ma0000004251;https://www.allmusic.com/theme/nostalgia-ma0000013548","https://www.allmusic.com/album/livin-my-best-life-mw0003729384"
"Too Late for Edelweiss","34:38","September 23, 2022","6",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Alternative/Indie Rock;Alternative Singer/Songwriter;Indie Folk;Indie Rock","https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/alternative-singer-songwriter-ma0000012100;https://www.allmusic.com/style/indie-folk-ma0000012149;https://www.allmusic.com/style/indie-rock-ma0000004453","Earnest;Organic;Uncompromising;Warm;Atmospheric;Bittersweet;Intimate;Literate;Plaintive;Understated;Amiable/Good-Natured;Autumnal;Confessional;Earthy;Graceful;Introspective;Passionate;Reflective;Searching;Yearning;Cerebral;Dramatic;Flowing;Laid-Back/Mellow;Narrative;Soft/Quiet","https://www.allmusic.com/mood/earnest-xa0000000980;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/uncompromising-xa0000001129;https://www.allmusic.com/mood/warm-xa0000001138;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/plaintive-xa0000001066;https://www.allmusic.com/mood/understated-xa0000001130;https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/confessional-xa0000001440;https://www.allmusic.com/mood/earthy-xa0000000981;https://www.allmusic.com/mood/graceful-xa0000001011;https://www.allmusic.com/mood/introspective-xa0000001027;https://www.allmusic.com/mood/passionate-xa0000001062;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/searching-xa0000001088;https://www.allmusic.com/mood/yearning-xa0000000733;https://www.allmusic.com/mood/cerebral-xa0000000959;https://www.allmusic.com/mood/dramatic-xa0000000708;https://www.allmusic.com/mood/flowing-xa0000000713;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/narrative-xa0000001052;https://www.allmusic.com/mood/soft-quiet-xa0000001097","Introspection;Day Driving;Open Road;Reflection;Sunday Afternoon","https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/day-driving-ma0000006330;https://www.allmusic.com/theme/open-road-ma0000005099;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/sunday-afternoon-ma0000006310","https://www.allmusic.com/album/too-late-for-edelweiss-mw0003823368"
"Night Music","59:54","February 18, 2022","6",NA,"","Classical","https://www.allmusic.com/genre/classical-ma0000002521","Keyboard","https://www.allmusic.com/style/keyboard-ma0000011828","Amiable/Good-Natured;Bravado;Brooding;Capricious;Energetic;Fantastic/Fantasy-like;Feverish;Graceful;Marching;Melodic;Playful;Reflective;Resolute","https://www.allmusic.com/mood/amiable-good-natured-xa0000000934;https://www.allmusic.com/mood/bravado-xa0000000951;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/capricious-xa0000000956;https://www.allmusic.com/mood/energetic-xa0000000990;https://www.allmusic.com/mood/fantastic-fantasy-like-xa0000000998;https://www.allmusic.com/mood/feverish-xa0000001000;https://www.allmusic.com/mood/graceful-xa0000001011;https://www.allmusic.com/mood/marching-xa0000000729;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/resolute-xa0000001078","","","https://www.allmusic.com/album/night-music-mw0003668548"
"Ethereal","35:10","February 11, 2022","6",NA,"","Rap","https://www.allmusic.com/genre/rap-ma0000002816","Alternative Rap;Trap (Rap);Contemporary Rap","https://www.allmusic.com/style/alternative-rap-ma0000012203;https://www.allmusic.com/style/trap-rap-ma0000013576;https://www.allmusic.com/style/contemporary-rap-ma0000013542","Atmospheric;Circular;Hypnotic;Narcotic;Relaxed;Resolute;Ethereal;Understated;Mysterious;Nocturnal","https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/circular-xa0000000961;https://www.allmusic.com/mood/hypnotic-xa0000000719;https://www.allmusic.com/mood/narcotic-xa0000001051;https://www.allmusic.com/mood/relaxed-xa0000000755;https://www.allmusic.com/mood/resolute-xa0000001078;https://www.allmusic.com/mood/ethereal-xa0000000993;https://www.allmusic.com/mood/understated-xa0000001130;https://www.allmusic.com/mood/mysterious-xa0000000738;https://www.allmusic.com/mood/nocturnal-xa0000001054","City Life;Biographical;Late Night;Cool & Cocky;Drugs","https://www.allmusic.com/theme/city-life-ma0000004247;https://www.allmusic.com/theme/biographical-ma0000005036;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/cool-cocky-ma0000006328;https://www.allmusic.com/theme/drugs-ma0000004254","https://www.allmusic.com/album/ethereal-mw0003669869"
"EG2: Dowsing Voice",NA,"May 13, 2022","6",NA,"","Avant-Garde","https://www.allmusic.com/genre/avant-garde-ma0000012170","Improvisation;Alternative Singer/Songwriter;Noise","https://www.allmusic.com/style/improvisation-ma0000012076;https://www.allmusic.com/style/alternative-singer-songwriter-ma0000012100;https://www.allmusic.com/style/noise-ma0000012085","Autumnal;Dreamy;Intimate;Melancholy;Austere;Brittle;Delicate;Elegant;Ethereal;Nocturnal;Stylish;Wistful;Angst-Ridden;Bittersweet;Bleak;Brooding;Cathartic;Gloomy;Laid-Back/Mellow;Refined;Somber;Spacey;Tense/Anxious;Atmospheric;Gentle;Introspective;Literate;Reflective;Soft/Quiet;Soothing;Understated;Whimsical;Organic;Sophisticated;Eerie;Sensual","https://www.allmusic.com/mood/autumnal-xa0000000943;https://www.allmusic.com/mood/dreamy-xa0000000709;https://www.allmusic.com/mood/intimate-xa0000000722;https://www.allmusic.com/mood/melancholy-xa0000000734;https://www.allmusic.com/mood/austere-xa0000000942;https://www.allmusic.com/mood/brittle-xa0000000953;https://www.allmusic.com/mood/delicate-xa0000000972;https://www.allmusic.com/mood/elegant-xa0000000988;https://www.allmusic.com/mood/ethereal-xa0000000993;https://www.allmusic.com/mood/nocturnal-xa0000001054;https://www.allmusic.com/mood/stylish-xa0000001113;https://www.allmusic.com/mood/wistful-xa0000001142;https://www.allmusic.com/mood/angst-ridden-xa0000000935;https://www.allmusic.com/mood/bittersweet-xa0000000946;https://www.allmusic.com/mood/bleak-xa0000000947;https://www.allmusic.com/mood/brooding-xa0000000954;https://www.allmusic.com/mood/cathartic-xa0000000958;https://www.allmusic.com/mood/gloomy-xa0000000714;https://www.allmusic.com/mood/laid-back-mellow-xa0000001032;https://www.allmusic.com/mood/refined-xa0000001076;https://www.allmusic.com/mood/somber-xa0000001098;https://www.allmusic.com/mood/spacey-xa0000001101;https://www.allmusic.com/mood/tense-anxious-xa0000000697;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/gentle-xa0000001008;https://www.allmusic.com/mood/introspective-xa0000001027;https://www.allmusic.com/mood/literate-xa0000001036;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/soft-quiet-xa0000001097;https://www.allmusic.com/mood/soothing-xa0000001099;https://www.allmusic.com/mood/understated-xa0000001130;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/organic-xa0000001057;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/eerie-xa0000000985;https://www.allmusic.com/mood/sensual-xa0000000764","Autumn;Rainy Day;Background Music;Late Night;Small Gathering;Solitude;Introspection;Reflection","https://www.allmusic.com/theme/autumn-ma0000004245;https://www.allmusic.com/theme/rainy-day-ma0000005096;https://www.allmusic.com/theme/background-music-ma0000006329;https://www.allmusic.com/theme/late-night-ma0000006321;https://www.allmusic.com/theme/small-gathering-ma0000006333;https://www.allmusic.com/theme/solitude-ma0000006313;https://www.allmusic.com/theme/introspection-ma0000006318;https://www.allmusic.com/theme/reflection-ma0000006316","https://www.allmusic.com/album/eg2-dowsing-voice-mw0003698079"
"After Hours","29:21","July 8, 2022","6",NA,"","Pop/Rock","https://www.allmusic.com/genre/pop-rock-ma0000002613","Instrumental Rock;Alternative/Indie Rock;Indie Pop","https://www.allmusic.com/style/instrumental-rock-ma0000002827;https://www.allmusic.com/style/alternative-indie-rock-ma0000012230;https://www.allmusic.com/style/indie-pop-ma0000004494","Agreeable;Carefree;Airy;Melodic;Relaxed;Summery;Uplifting;Atmospheric;Bright;Calm/Peaceful;Reflective;Driving;Quirky;Sparkling;Whimsical;Meandering;Playful;Sophisticated;Swaggering","https://www.allmusic.com/mood/agreeable-xa0000000715;https://www.allmusic.com/mood/carefree-xa0000000702;https://www.allmusic.com/mood/airy-xa0000000932;https://www.allmusic.com/mood/melodic-xa0000001127;https://www.allmusic.com/mood/relaxed-xa0000000755;https://www.allmusic.com/mood/summery-xa0000001116;https://www.allmusic.com/mood/uplifting-xa0000001132;https://www.allmusic.com/mood/atmospheric-xa0000000941;https://www.allmusic.com/mood/bright-xa0000000952;https://www.allmusic.com/mood/calm-peaceful-xa0000000701;https://www.allmusic.com/mood/reflective-xa0000000753;https://www.allmusic.com/mood/driving-xa0000000978;https://www.allmusic.com/mood/quirky-xa0000000743;https://www.allmusic.com/mood/sparkling-xa0000001102;https://www.allmusic.com/mood/whimsical-xa0000001140;https://www.allmusic.com/mood/meandering-xa0000001044;https://www.allmusic.com/mood/playful-xa0000001067;https://www.allmusic.com/mood/sophisticated-xa0000001100;https://www.allmusic.com/mood/swaggering-xa0000001118","Happiness;Relaxation;Summer;Hanging Out;Reflection;Imagination;Playful;Cool & Cocky","https://www.allmusic.com/theme/happiness-ma0000005066;https://www.allmusic.com/theme/relaxation-ma0000006314;https://www.allmusic.com/theme/summer-ma0000004281;https://www.allmusic.com/theme/hanging-out-ma0000006297;https://www.allmusic.com/theme/reflection-ma0000006316;https://www.allmusic.com/theme/imagination-ma0000006299;https://www.allmusic.com/theme/playful-ma0000006315;https://www.allmusic.com/theme/cool-cocky-ma0000006328","https://www.allmusic.com/album/after-hours-mw0003699324"
